item_id,condition,eval_prefix,continuation,continuation_sum_logprob,continuation_mean_logprob,model,continuation_sum_surprisal,continuation_mean_surprisal,count,log_count
5,impossible,He called a friend using,a sandwich.,-14.112442016601562,-4.704147338867188,gpt2,14.112442016601562,4.704147338867188,288,5.662960480135946
5,inconceivable,He called a friend using,mass.,-18.330406188964844,-9.165203094482422,gpt2,18.330406188964844,9.165203094482422,28354,10.252523392677578
5,inconceivable_syntactic,He called a friend using,with.,-17.586772918701172,-8.793386459350586,gpt2,17.586772918701172,8.793386459350586,1330755,14.101257008307675
6,probable,He carried groceries inside,a tote bag.,-17.041149139404297,-3.40822982788086,gpt2,17.041149139404297,3.40822982788086,9,2.1972245773362196
6,improbable,He carried groceries inside,a backpack.,-10.306716918945312,-3.435572306315104,gpt2,10.306716918945312,3.435572306315104,121,4.795790545596741
6,impossible,He carried groceries inside,a tornado.,-15.03107452392578,-5.010358174641927,gpt2,15.03107452392578,5.010358174641927,150,5.0106352940962555
6,inconceivable,He carried groceries inside,a law.,-19.658855438232425,-6.552951812744141,gpt2,19.658855438232425,6.552951812744141,1554,7.348587530927593
6,inconceivable_syntactic,He carried groceries inside,give.,-18.103790283203125,-9.051895141601562,gpt2,18.103790283203125,9.051895141601562,54322,10.902684580406032
7,probable,He carved a statue using,a chisel.,-10.955718994140623,-2.738929748535156,gpt2,10.955718994140623,2.738929748535156,34,3.5263605246161616
7,improbable,He carved a statue using,a nail.,-12.06035614013672,-4.020118713378906,gpt2,12.06035614013672,4.020118713378906,181,5.198497031265826
7,impossible,He carved a statue using,a sock.,-13.875885009765623,-4.625295003255208,gpt2,13.875885009765623,4.625295003255208,65,4.174387269895637
7,inconceivable,He carved a statue using,laughter.,-12.851036071777344,-6.425518035888672,gpt2,12.851036071777344,6.425518035888672,1709,7.443663683115591
7,inconceivable_syntactic,He carved a statue using,forget.,-20.04115295410156,-10.02057647705078,gpt2,20.04115295410156,10.02057647705078,7018,8.85623355614316
8,probable,He caught a fish in,a lake.,-7.447628021240234,-2.4825426737467446,gpt2,7.447628021240234,2.4825426737467446,250,5.521460917862246
8,improbable,He caught a fish in,a puddle.,-9.784423828125,-2.44610595703125,gpt2,9.784423828125,2.44610595703125,79,4.3694478524670215
8,impossible,He caught a fish in,a raindrop.,-14.886932373046877,-3.721733093261719,gpt2,14.886932373046877,3.721733093261719,5,1.6094379124341003
8,inconceivable,He caught a fish in,an exclamation.,-19.50020980834961,-4.875052452087402,gpt2,19.50020980834961,4.875052452087402,87,4.465908118654584
8,inconceivable_syntactic,He caught a fish in,become.,-20.136932373046875,-10.068466186523438,gpt2,20.136932373046875,10.068466186523438,39221,10.576967596620598
9,probable,He chilled a drink using,ice.,-7.229866027832031,-3.614933013916016,gpt2,7.229866027832031,3.614933013916016,9577,9.16711966952162
9,improbable,He chilled a drink using,snow.,-12.77043914794922,-6.385219573974609,gpt2,12.77043914794922,6.385219573974609,7175,8.878358040627822
9,impossible,He chilled a drink using,fire.,-11.424797058105469,-5.712398529052734,gpt2,11.424797058105469,5.712398529052734,20732,9.939433679309596
9,inconceivable,He chilled a drink using,yesterday.,-17.760581970214844,-8.880290985107422,gpt2,17.760581970214844,8.880290985107422,4751,8.46611040118692
9,inconceivable_syntactic,He chilled a drink using,onto.,-23.582195281982425,-11.791097640991213,gpt2,23.582195281982425,11.791097640991213,15803,9.667955074409104
10,probable,He chopped a carrot using,a knife.,-3.9699630737304688,-1.323321024576823,gpt2,3.9699630737304688,1.323321024576823,872,6.77078942390898
10,improbable,He chopped a carrot using,a sword.,-8.955299377441406,-2.9850997924804688,gpt2,8.955299377441406,2.9850997924804688,349,5.855071922202427
10,impossible,He chopped a carrot using,a rag.,-10.702110290527344,-3.567370096842448,gpt2,10.702110290527344,3.567370096842448,151,5.017279836814924
10,inconceivable,He chopped a carrot using,a color.,-21.013328552246094,-7.004442850748698,gpt2,21.013328552246094,7.004442850748698,1230,7.114769448366463
10,inconceivable_syntactic,He chopped a carrot using,through.,-17.365631103515625,-8.682815551757812,gpt2,17.365631103515625,8.682815551757812,133222,11.799772188615327
11,probable,He cleaned a spill using,a sponge.,-8.081123352050781,-2.6937077840169272,gpt2,8.081123352050781,2.6937077840169272,113,4.727387818712341
11,improbable,He cleaned a spill using,a scarf.,-13.528709411621094,-4.509569803873698,gpt2,13.528709411621094,4.509569803873698,96,4.564348191467836
11,impossible,He cleaned a spill using,mustard.,-10.702545166015623,-5.3512725830078125,gpt2,10.702545166015623,5.3512725830078125,698,6.548219102762372
11,inconceivable,He cleaned a spill using,a country.,-17.879302978515625,-5.959767659505208,gpt2,17.879302978515625,5.959767659505208,2180,7.687080155783135
11,inconceivable_syntactic,He cleaned a spill using,without.,-21.7677001953125,-10.88385009765625,gpt2,21.7677001953125,10.88385009765625,93309,11.443671845205685
12,probable,He cleaned a carpet using,a vacuum.,-10.970062255859377,-3.656687418619792,gpt2,10.970062255859377,3.656687418619792,766,6.641182169740591
12,improbable,He cleaned a carpet using,a hat.,-12.036720275878906,-4.012240091959636,gpt2,12.036720275878906,4.012240091959636,507,6.2285110035911835
12,impossible,He cleaned a carpet using,a crayon.,-9.710582733154297,-1.9421165466308596,gpt2,9.710582733154297,1.9421165466308596,11,2.3978952727983707
12,inconceivable,He cleaned a carpet using,a week.,-17.366619110107422,-5.788873036702474,gpt2,17.366619110107422,5.788873036702474,6751,8.81744592104187
12,inconceivable_syntactic,He cleaned a carpet using,into.,-21.532958984375,-10.7664794921875,gpt2,21.532958984375,10.7664794921875,242073,12.396994612543299
13,probable,He climbed a tree using,a ladder.,-6.470115661621094,-2.1567052205403647,gpt2,6.470115661621094,2.1567052205403647,216,5.375278407684165
13,improbable,He climbed a tree using,a rope.,-5.8381195068359375,-1.9460398356119792,gpt2,5.8381195068359375,1.9460398356119792,333,5.808142489980444
13,impossible,He climbed a tree using,oil.,-11.046722412109377,-5.523361206054688,gpt2,11.046722412109377,5.523361206054688,19914,9.89917828094803
13,inconceivable,He climbed a tree using,a poem.,-14.506126403808594,-4.835375467936198,gpt2,14.506126403808594,4.835375467936198,427,6.056784013228625
13,inconceivable_syntactic,He climbed a tree using,before.,-16.60247039794922,-8.30123519897461,gpt2,16.60247039794922,8.30123519897461,120252,11.697344819846329
14,probable,He closed a jacket using,a zipper.,-9.229949951171877,-3.0766499837239585,gpt2,9.229949951171877,3.0766499837239585,38,3.6375861597263857
14,improbable,He closed a jacket using,glue.,-8.763832092285156,-4.381916046142578,gpt2,8.763832092285156,4.381916046142578,1047,6.953684210870537
14,impossible,He closed a jacket using,fog.,-15.969528198242188,-7.984764099121094,gpt2,15.969528198242188,7.984764099121094,1677,7.424761761823209
14,inconceivable,He closed a jacket using,a word.,-14.629310607910156,-4.876436869303386,gpt2,14.629310607910156,4.876436869303386,3159,8.058010800802085
14,inconceivable_syntactic,He closed a jacket using,until.,-19.124984741210938,-9.562492370605469,gpt2,19.124984741210938,9.562492370605469,54753,10.91058744069813
15,probable,He constructed a tower out of,blocks.,-9.07989501953125,-4.539947509765625,gpt2,9.07989501953125,4.539947509765625,7272,8.891786635857315
15,improbable,He constructed a tower out of,bubbles.,-12.935516357421877,-6.4677581787109375,gpt2,12.935516357421877,6.4677581787109375,1178,7.071573364211532
15,impossible,He constructed a tower out of,sparks.,-14.275016784667969,-7.137508392333984,gpt2,14.275016784667969,7.137508392333984,457,6.124683390894205
15,inconceivable,He constructed a tower out of,seasons.,-16.45794677734375,-8.228973388671875,gpt2,16.45794677734375,8.228973388671875,4134,8.327000740241713
15,inconceivable_syntactic,He constructed a tower out of,forgive.,-23.0909423828125,-11.54547119140625,gpt2,23.0909423828125,11.54547119140625,1521,7.327123292259293
16,probable,He cooked dinner out of,pasta.,-7.833854675292969,-3.916927337646485,gpt2,7.833854675292969,3.916927337646485,1038,6.945051063725834
16,improbable,He cooked dinner out of,insects.,-13.20660400390625,-6.603302001953125,gpt2,13.20660400390625,6.603302001953125,1708,7.443078374348516
16,impossible,He cooked dinner out of,the moon.,-13.929100036621094,-4.643033345540364,gpt2,13.929100036621094,4.643033345540364,1858,7.527255919373784
16,inconceivable,He cooked dinner out of,thoughts.,-13.32861328125,-6.664306640625,gpt2,13.32861328125,6.664306640625,7712,8.950532836290382
16,inconceivable_syntactic,He cooked dinner out of,do.,-15.792869567871094,-7.896434783935547,gpt2,15.792869567871094,7.896434783935547,247429,12.41887895114932
17,probable,He cooled a room using,a fan.,-8.329193115234375,-2.776397705078125,gpt2,8.329193115234375,2.776397705078125,1457,7.284134806195205
17,improbable,He cooled a room using,shades.,-12.756507873535156,-6.378253936767578,gpt2,12.756507873535156,6.378253936767578,1016,6.923628628138427
17,impossible,He cooled a room using,a heater.,-7.813156127929687,-2.6043853759765625,gpt2,7.813156127929687,2.6043853759765625,115,4.74493212836325
17,inconceivable,He cooled a room using,a taste.,-17.433300018310547,-5.811100006103516,gpt2,17.433300018310547,5.811100006103516,499,6.212606095751519
17,inconceivable_syntactic,He cooled a room using,have.,-18.196800231933597,-9.098400115966797,gpt2,18.196800231933597,9.098400115966797,660383,13.40057524872222
18,probable,He covered a window using,curtains.,-10.291526794433594,-5.145763397216797,gpt2,10.291526794433594,5.145763397216797,721,6.580639137284949
18,improbable,He covered a window using,sheets.,-11.776458740234377,-5.888229370117188,gpt2,11.776458740234377,5.888229370117188,3450,8.146129510025405
18,impossible,He covered a window using,a hair.,-16.49700927734375,-5.499003092447917,gpt2,16.49700927734375,5.499003092447917,322,5.7745515455444085
18,inconceivable,He covered a window using,a chant.,-15.324447631835938,-5.10814921061198,gpt2,15.324447631835938,5.10814921061198,30,3.4011973816621555
18,inconceivable_syntactic,He covered a window using,make.,-16.092918395996094,-8.046459197998047,gpt2,16.092918395996094,8.046459197998047,123786,11.726309547216001
19,probable,He crafted a bowl out of,clay.,-7.666717529296875,-3.8333587646484375,gpt2,7.666717529296875,3.8333587646484375,1460,7.286191714702382
19,improbable,He crafted a bowl out of,mud.,-9.535812377929688,-4.767906188964844,gpt2,9.535812377929688,4.767906188964844,2239,7.713784616598755
19,impossible,He crafted a bowl out of,smoke.,-11.726036071777344,-5.863018035888672,gpt2,11.726036071777344,5.863018035888672,5049,8.526945482858915
19,inconceivable,He crafted a bowl out of,math.,-12.584571838378906,-6.292285919189453,gpt2,12.584571838378906,6.292285919189453,2948,7.988882253309227
19,inconceivable_syntactic,He crafted a bowl out of,follow.,-20.07096099853516,-10.035480499267578,gpt2,20.07096099853516,10.035480499267578,24743,10.116297899710545
20,probable,He crushed a soda can using,a shoe.,-11.5108642578125,-3.8369547526041674,gpt2,11.5108642578125,3.8369547526041674,226,5.420534999272286
20,improbable,He crushed a soda can using,a chair.,-10.103363037109377,-3.3677876790364585,gpt2,10.103363037109377,3.3677876790364585,1050,6.956545443151569
20,impossible,He crushed a soda can using,a tissue.,-15.389144897460938,-5.1297149658203125,gpt2,15.389144897460938,5.1297149658203125,274,5.6131281063880705
20,inconceivable,He crushed a soda can using,a day.,-16.7115478515625,-5.570515950520833,gpt2,16.7115478515625,5.570515950520833,7117,8.87024156729927
20,inconceivable_syntactic,He crushed a soda can using,choose.,-21.24507141113281,-10.622535705566406,gpt2,21.24507141113281,10.622535705566406,13746,9.52850315168155
21,probable,He cut grass using,a lawnmower.,-8.987449645996094,-1.7974899291992188,gpt2,8.987449645996094,1.7974899291992188,13,2.5649493574615367
21,improbable,He cut grass using,a scythe.,-10.846698760986328,-2.1693397521972657,gpt2,10.846698760986328,2.1693397521972657,17,2.833213344056216
21,impossible,He cut grass using,a popsicle.,-14.84478759765625,-3.7111968994140634,gpt2,14.84478759765625,3.7111968994140634,15,2.70805020110221
21,inconceivable,He cut grass using,an essay.,-17.178726196289062,-5.726242065429688,gpt2,17.178726196289062,5.726242065429688,338,5.823045895483019
21,inconceivable_syntactic,He cut grass using,then.,-14.957977294921877,-7.4789886474609375,gpt2,14.957977294921877,7.4789886474609375,185397,12.1302547507532
22,probable,He cut cardboard using,scissors.,-5.166114807128906,-2.583057403564453,gpt2,5.166114807128906,2.583057403564453,460,6.131226489483141
22,improbable,He cut cardboard using,a scalpel.,-7.958908081054687,-1.989727020263672,gpt2,7.958908081054687,1.989727020263672,46,3.828641396489095
22,impossible,He cut cardboard using,fur.,-13.148681640625,-6.5743408203125,gpt2,13.148681640625,6.5743408203125,2257,7.721791776817535
22,inconceivable,He cut cardboard using,a snore.,-18.115867614746094,-4.528966903686523,gpt2,18.115867614746094,4.528966903686523,5,1.6094379124341003
22,inconceivable_syntactic,He cut cardboard using,sometimes.,-18.225303649902344,-9.112651824951172,gpt2,18.225303649902344,9.112651824951172,16795,9.728836502046393
23,probable,He dented a car with,a baseball bat.,-7.47576904296875,-1.8689422607421875,gpt2,7.47576904296875,1.8689422607421875,66,4.189654742026425
23,improbable,He dented a car with,a dumbbell.,-13.8870849609375,-3.471771240234375,gpt2,13.8870849609375,3.471771240234375,13,2.5649493574615367
23,impossible,He dented a car with,a breeze.,-13.581893920898438,-4.5272979736328125,gpt2,13.581893920898438,4.5272979736328125,229,5.43372200355424
23,inconceivable,He dented a car with,a nap.,-18.09854888916016,-6.032849629720052,gpt2,18.09854888916016,6.032849629720052,310,5.736572297479192
23,inconceivable_syntactic,He dented a car with,from.,-19.519287109375,-9.7596435546875,gpt2,19.519287109375,9.7596435546875,759491,13.540403751046503
24,probable,He dug a hole using,a shovel.,-5.24798583984375,-1.74932861328125,gpt2,5.24798583984375,1.74932861328125,78,4.356708826689592
24,improbable,He dug a hole using,a spatula.,-11.958175659179688,-2.989543914794922,gpt2,11.958175659179688,2.989543914794922,59,4.07753744390572
24,impossible,He dug a hole using,dirt.,-8.187934875488281,-4.093967437744141,gpt2,8.187934875488281,4.093967437744141,2624,7.8724551500639794
24,inconceivable,He dug a hole using,a yawn.,-15.472511291503906,-5.157503763834636,gpt2,15.472511291503906,5.157503763834636,49,3.8918202981106265
24,inconceivable_syntactic,He dug a hole using,except.,-21.657325744628903,-10.828662872314451,gpt2,21.657325744628903,10.828662872314451,17343,9.760944245750586
25,probable,He dipped a biscuit into,coffee.,-9.885406494140623,-4.9427032470703125,gpt2,9.885406494140623,4.9427032470703125,6925,8.842893331055539
25,improbable,He dipped a biscuit into,wine.,-10.286628723144531,-5.143314361572266,gpt2,10.286628723144531,5.143314361572266,7100,8.867850063029406
25,impossible,He dipped a biscuit into,a floor.,-17.798160552978516,-5.932720184326172,gpt2,17.798160552978516,5.932720184326172,250,5.521460917862246
25,inconceivable,He dipped a biscuit into,a myth.,-18.561901092529297,-6.187300364176433,gpt2,18.561901092529297,6.187300364176433,238,5.472270673671475
25,inconceivable_syntactic,He dipped a biscuit into,by.,-19.7265625,-9.86328125,gpt2,19.7265625,9.86328125,897501,13.707369513550079
26,probable,He displayed books on,a shelf.,-8.899307250976562,-2.966435750325521,gpt2,8.899307250976562,2.966435750325521,249,5.517452896464707
26,improbable,He displayed books on,a bed.,-11.430168151855469,-3.8100560506184897,gpt2,11.430168151855469,3.8100560506184897,831,6.7226297948554485
26,impossible,He displayed books on,a galaxy.,-20.577430725097656,-6.859143575032552,gpt2,20.577430725097656,6.859143575032552,267,5.58724865840025
26,inconceivable,He displayed books on,a sigh.,-20.415367126464844,-6.805122375488281,gpt2,20.415367126464844,6.805122375488281,437,6.07993319509559
26,inconceivable_syntactic,He displayed books on,for.,-18.10436248779297,-9.052181243896484,gpt2,18.10436248779297,9.052181243896484,1664104,14.324797398410247
27,probable,He docked a boat using,an anchor.,-11.697738647460938,-3.899246215820313,gpt2,11.697738647460938,3.899246215820313,243,5.493061443340548
27,improbable,He docked a boat using,an anvil.,-13.538604736328123,-3.3846511840820312,gpt2,13.538604736328123,3.3846511840820312,35,3.5553480614894135
27,impossible,He docked a boat using,a balloon.,-11.15521240234375,-3.718404134114584,gpt2,11.15521240234375,3.718404134114584,186,5.225746673713202
27,inconceivable,He docked a boat using,a lesson.,-19.247169494628903,-6.415723164876302,gpt2,19.247169494628903,6.415723164876302,561,6.329720905522696
27,inconceivable_syntactic,He docked a boat using,though.,-18.815086364746094,-9.407543182373049,gpt2,18.815086364746094,9.407543182373049,47219,10.762551632948083
28,probable,He drank a cup full of,water.,-4.486366271972656,-2.243183135986328,gpt2,4.486366271972656,2.243183135986328,56182,10.936351699882175
28,improbable,He drank a cup full of,honey.,-8.355491638183594,-4.177745819091797,gpt2,8.355491638183594,4.177745819091797,3455,8.14757773620177
28,impossible,He drank a cup full of,lightning.,-14.48163604736328,-7.240818023681641,gpt2,14.48163604736328,7.240818023681641,1322,7.186901020411631
28,inconceivable,He drank a cup full of,minutes.,-16.327552795410156,-8.163776397705078,gpt2,16.327552795410156,8.163776397705078,32338,10.38399828829976
28,inconceivable_syntactic,He drank a cup full of,during.,-19.590484619140625,-9.795242309570312,gpt2,19.590484619140625,9.795242309570312,93327,11.44386473403802
29,probable,He dried his hands using,a towel.,-6.15618896484375,-2.05206298828125,gpt2,6.15618896484375,2.05206298828125,265,5.579729825986222
29,improbable,He dried his hands using,a sweater.,-13.513961791992188,-4.504653930664063,gpt2,13.513961791992188,4.504653930664063,86,4.454347296253507
29,impossible,He dried his hands using,a liquid.,-11.708267211914062,-3.902755737304688,gpt2,11.708267211914062,3.902755737304688,1383,7.232010331664759
29,inconceivable,He dried his hands using,freedom.,-14.260368347167969,-7.130184173583984,gpt2,14.260368347167969,7.130184173583984,9319,9.139810605785655
29,inconceivable_syntactic,He dried his hands using,always.,-16.899505615234375,-8.449752807617188,gpt2,16.899505615234375,8.449752807617188,55331,10.921088609106748
30,probable,He dried laundry using,a clothesline.,-13.21430206298828,-3.3035755157470703,gpt2,13.21430206298828,3.3035755157470703,20,2.995732273553991
30,improbable,He dried laundry using,a fan.,-9.461898803710938,-3.153966267903646,gpt2,9.461898803710938,3.153966267903646,1457,7.284134806195205
30,impossible,He dried laundry using,juice.,-12.277908325195312,-6.138954162597656,gpt2,12.277908325195312,6.138954162597656,3295,8.100161446936607
30,inconceivable,He dried laundry using,courage.,-12.74560546875,-6.372802734375,gpt2,12.74560546875,6.372802734375,2555,7.845807502637805
30,inconceivable_syntactic,He dried laundry using,and.,-15.0443115234375,-7.52215576171875,gpt2,15.0443115234375,7.52215576171875,4665401,15.355684347840462
31,probable,He ate soup using,a spoon.,-5.548583984375,-1.8495279947916667,gpt2,5.548583984375,1.8495279947916667,261,5.564520407322694
31,improbable,He ate soup using,a bucket.,-10.621910095214844,-3.540636698404948,gpt2,10.621910095214844,3.540636698404948,349,5.855071922202427
31,impossible,He ate soup using,a sieve.,-9.885543823242188,-2.471385955810547,gpt2,9.885543823242188,2.471385955810547,62,4.127134385045092
31,inconceivable,He ate soup using,history.,-13.886627197265623,-6.9433135986328125,gpt2,13.886627197265623,6.9433135986328125,31688,10.363693339301753
31,inconceivable_syntactic,He ate soup using,ever.,-17.799644470214844,-8.899822235107422,gpt2,17.799644470214844,8.899822235107422,39183,10.575998258245631
32,probable,He entered a room through,a door.,-6.004169464111328,-2.001389821370443,gpt2,6.004169464111328,2.001389821370443,825,6.715383386334681
32,improbable,He entered a room through,a window.,-5.016880035400391,-1.6722933451334636,gpt2,5.016880035400391,1.6722933451334636,1221,7.107425474110705
32,impossible,He entered a room through,a wall.,-8.91452407836914,-2.971508026123047,gpt2,8.91452407836914,2.971508026123047,1407,7.249215057114389
32,inconceivable,He entered a room through,a theory.,-19.240154266357425,-6.413384755452474,gpt2,19.240154266357425,6.413384755452474,927,6.831953565565855
32,inconceivable_syntactic,He entered a room through,should.,-20.516963958740234,-10.258481979370115,gpt2,20.516963958740234,10.258481979370115,135244,11.81483583343264
33,probable,He filled a bucket with,sand.,-7.679931640625,-3.8399658203125,gpt2,7.679931640625,3.8399658203125,5257,8.567315800819449
33,improbable,He filled a bucket with,acorns.,-11.478900909423828,-3.826300303141276,gpt2,11.478900909423828,3.826300303141276,65,4.174387269895637
33,impossible,He filled a bucket with,buildings.,-14.992721557617188,-7.496360778808594,gpt2,14.992721557617188,7.496360778808594,6671,8.805525052709516
33,inconceivable,He filled a bucket with,time.,-12.024269104003906,-6.012134552001953,gpt2,12.024269104003906,6.012134552001953,263474,12.481709970368424
33,inconceivable_syntactic,He filled a bucket with,up.,-15.88410758972168,-7.94205379486084,gpt2,15.88410758972168,7.94205379486084,259314,12.465794961584885
34,probable,He filled a purse with,coins.,-7.292144775390625,-3.646072387695313,gpt2,7.292144775390625,3.646072387695313,1816,7.504391559161238
34,improbable,He filled a purse with,cream.,-11.954696655273438,-5.977348327636719,gpt2,11.954696655273438,5.977348327636719,3547,8.173857454773621
34,impossible,He filled a purse with,sofas.,-15.995952606201172,-3.998988151550293,gpt2,15.995952606201172,3.998988151550293,125,4.8283137373023015
34,inconceivable,He filled a purse with,luck.,-14.778114318847656,-7.389057159423828,gpt2,14.778114318847656,7.389057159423828,4840,8.484669999710677
34,inconceivable_syntactic,He filled a purse with,nor.,-19.869461059570312,-9.934730529785156,gpt2,19.869461059570312,9.934730529785156,16941,9.737491998340946
35,probable,He grew flowers inside,a pot.,-9.6695556640625,-3.2231852213541665,gpt2,9.6695556640625,3.2231852213541665,501,6.2166061010848646
35,improbable,He grew flowers inside,a mug.,-13.177391052246094,-4.392463684082031,gpt2,13.177391052246094,4.392463684082031,137,4.919980925828125
35,impossible,He grew flowers inside,a marble.,-17.05010986328125,-5.683369954427083,gpt2,17.05010986328125,5.683369954427083,103,4.634728988229636
35,inconceivable,He grew flowers inside,a sneeze.,-19.71713256835937,-3.943426513671875,gpt2,19.71713256835937,3.943426513671875,17,2.833213344056216
35,inconceivable_syntactic,He grew flowers inside,been.,-17.181716918945312,-8.590858459472656,gpt2,17.181716918945312,8.590858459472656,308621,12.63986926585065
36,probable,He hung a painting using,screws.,-10.981460571289062,-5.490730285644531,gpt2,10.981460571289062,5.490730285644531,1108,7.010311867307229
36,improbable,He hung a painting using,string.,-11.23406219482422,-5.617031097412109,gpt2,11.23406219482422,5.617031097412109,30078,10.311549286491559
36,impossible,He hung a painting using,vapor.,-14.753631591796877,-7.376815795898437,gpt2,14.753631591796877,7.376815795898437,1862,7.529406457837013
36,inconceivable,He hung a painting using,a handshake.,-14.005722045898438,-4.66857401529948,gpt2,14.005722045898438,4.66857401529948,56,4.02535169073515
36,inconceivable_syntactic,He hung a painting using,could.,-18.82604217529297,-9.413021087646484,gpt2,18.82604217529297,9.413021087646484,186154,12.134329567117272
37,probable,He hid a gift inside,a closet.,-8.6656494140625,-2.8885498046875,gpt2,8.6656494140625,2.8885498046875,175,5.1647859739235145
37,improbable,He hid a gift inside,a forest.,-12.552200317382812,-4.1840667724609375,gpt2,12.552200317382812,4.1840667724609375,393,5.973809611869261
37,impossible,He hid a gift inside,a cloud.,-13.11669921875,-4.372233072916667,gpt2,13.11669921875,4.372233072916667,756,6.628041376179533
37,inconceivable,He hid a gift inside,a gasp.,-17.279937744140625,-5.759979248046875,gpt2,17.279937744140625,5.759979248046875,77,4.343805421853684
37,inconceivable_syntactic,He hid a gift inside,find.,-16.261531829833984,-8.130765914916992,gpt2,16.261531829833984,8.130765914916992,77677,11.260314482240034
38,probable,He lifted a box using,a forklift.,-8.6533203125,-2.163330078125,gpt2,8.6533203125,2.163330078125,42,3.7376696182833684
38,improbable,He lifted a box using,a pulley.,-9.933853149414062,-2.483463287353516,gpt2,9.933853149414062,2.483463287353516,53,3.970291913552122
38,impossible,He lifted a box using,foam.,-12.119888305664062,-6.059944152832031,gpt2,12.119888305664062,6.059944152832031,1813,7.502738210754851
38,inconceivable,He lifted a box using,an emotion.,-17.91905975341797,-5.973019917805989,gpt2,17.91905975341797,5.973019917805989,116,4.7535901911063645
38,inconceivable_syntactic,He lifted a box using,very.,-17.6143798828125,-8.80718994140625,gpt2,17.6143798828125,8.80718994140625,123955,11.727673875496055
