item_id,prefix,infinitive_prefix,expt_prefix,sentence_prefix,prefix_type,condition,continuation,joint_count,cond_count,event_unigram_count,cond_prob,joint_prob
3,Using a telescope to look at,use a telescope to look at,Can you use a telescope to look at,[NP] used a telescope to look at,object,inconceivable_semantic,a decade,1881387,3902120543,6901388,0.0004821447669972711,7.272137055689013e-06
4,Chilling a drink using,chill a drink using,Can you chill a drink using,[NP] chilled a drink using,tool,probable,ice,10219569,258711708208,10219569,3.950176461199674e-05,3.950176461199674e-05
4,Chilling a drink using,chill a drink using,Can you chill a drink using,[NP] chilled a drink using,tool,improbable,snow,7676921,258711708208,7676921,2.9673651235868616e-05,2.9673651235868616e-05
4,Chilling a drink using,chill a drink using,Can you chill a drink using,[NP] chilled a drink using,tool,impossible_physics,fire,27334314,258711708208,27334314,0.00010565549657313404,0.00010565549657313404
4,Chilling a drink using,chill a drink using,Can you chill a drink using,[NP] chilled a drink using,tool,impossible_magic,pixies,16160,258711708208,16160,6.246335008158048e-08,6.246335008158048e-08
4,Chilling a drink using,chill a drink using,Can you chill a drink using,[NP] chilled a drink using,tool,inconceivable_syntactic,at,824890309,258711708208,824890309,0.0031884537221516145,0.0031884537221516145
4,Chilling a drink using,chill a drink using,Can you chill a drink using,[NP] chilled a drink using,tool,inconceivable_semantic,tomorrow,5791890,258711708208,5791890,2.2387429003960714e-05,2.2387429003960714e-05
5,Washing dishes using,wash dishes using,Can you wash dishes using,[NP] washed dishes using,tool,probable,soap,2060020,258711708208,2060020,7.962608319001077e-06,7.962608319001077e-06
5,Washing dishes using,wash dishes using,Can you wash dishes using,[NP] washed dishes using,tool,improbable,rain,8681655,258711708208,8681655,3.3557255912902446e-05,3.3557255912902446e-05
5,Washing dishes using,wash dishes using,Can you wash dishes using,[NP] washed dishes using,tool,impossible_physics,lightning,2314807,258711708208,2314807,8.94743811957259e-06,8.94743811957259e-06
5,Washing dishes using,wash dishes using,Can you wash dishes using,[NP] washed dishes using,tool,impossible_magic,fairies,369930,258711708208,369930,1.4298927658217242e-06,1.4298927658217242e-06
5,Washing dishes using,wash dishes using,Can you wash dishes using,[NP] washed dishes using,tool,inconceivable_syntactic,fell,16612554,258711708208,16612554,6.421260991653218e-05,6.421260991653218e-05
5,Washing dishes using,wash dishes using,Can you wash dishes using,[NP] washed dishes using,tool,inconceivable_semantic,arithmetic,2052256,258711708208,2052256,7.932598080756437e-06,7.932598080756437e-06
6,Building a robot out of,build a robot out of,Can you build a robot out of,[NP] built a robot out of,material,probable,metal,11964585,258711708208,11964585,4.624678597993976e-05,4.624678597993976e-05
6,Building a robot out of,build a robot out of,Can you build a robot out of,[NP] built a robot out of,material,improbable,plastic,6552219,258711708208,6552219,2.532633349060539e-05,2.532633349060539e-05
6,Building a robot out of,build a robot out of,Can you build a robot out of,[NP] built a robot out of,material,impossible_physics,soup,2655575,258711708208,2655575,1.0264610822580016e-05,1.0264610822580016e-05
6,Building a robot out of,build a robot out of,Can you build a robot out of,[NP] built a robot out of,material,impossible_magic,elixirs,27325,258711708208,27325,1.0561949511009817e-07,1.0561949511009817e-07
6,Building a robot out of,build a robot out of,Can you build a robot out of,[NP] built a robot out of,material,inconceivable_syntactic,with,1357086045,258711708208,1357086045,0.005245553262355351,0.005245553262355351
6,Building a robot out of,build a robot out of,Can you build a robot out of,[NP] built a robot out of,material,inconceivable_semantic,honesty,1728636,258711708208,1728636,6.681707650471716e-06,6.681707650471716e-06
7,Flying a kite using,fly a kite using,Can you fly a kite using,[NP] flew a kite using,tool,probable,string,7033823,258711708208,7033823,2.71878804740639e-05,2.71878804740639e-05
7,Flying a kite using,fly a kite using,Can you fly a kite using,[NP] flew a kite using,tool,improbable,floss,157608,258711708208,157608,6.092031979986222e-07,6.092031979986222e-07
7,Flying a kite using,fly a kite using,Can you fly a kite using,[NP] flew a kite using,tool,impossible_physics,lead,26365825,258711708208,26365825,0.00010191198992355733,0.00010191198992355733
7,Flying a kite using,fly a kite using,Can you fly a kite using,[NP] flew a kite using,tool,impossible_magic,witchcraft,796344,258711708208,796344,3.0781134936488937e-06,3.0781134936488937e-06
7,Flying a kite using,fly a kite using,Can you fly a kite using,[NP] flew a kite using,tool,inconceivable_syntactic,give,67005808,258711708208,67005808,0.0002589979729333642,0.0002589979729333642
7,Flying a kite using,fly a kite using,Can you fly a kite using,[NP] flew a kite using,tool,inconceivable_semantic,a sound,2159004,3902120543,27201344,0.0005532899294648982,8.345211799476024e-06
8,Crafting a bowl out of,craft a bowl out of,Can you craft a bowl out of,[NP] crafted a bowl out of,material,probable,clay,4172979,258711708208,4172979,1.6129842089114084e-05,1.6129842089114084e-05
8,Crafting a bowl out of,craft a bowl out of,Can you craft a bowl out of,[NP] crafted a bowl out of,material,improbable,mud,3401579,258711708208,3401579,1.314814479623468e-05,1.314814479623468e-05
8,Crafting a bowl out of,craft a bowl out of,Can you craft a bowl out of,[NP] crafted a bowl out of,material,impossible_physics,smoke,6848333,258711708208,6848333,2.6470904805336648e-05,2.6470904805336648e-05
8,Crafting a bowl out of,craft a bowl out of,Can you craft a bowl out of,[NP] crafted a bowl out of,material,impossible_magic,auras,68747,258711708208,68747,2.657282133699513e-07,2.657282133699513e-07
8,Crafting a bowl out of,craft a bowl out of,Can you craft a bowl out of,[NP] crafted a bowl out of,material,inconceivable_syntactic,forget,8820833,258711708208,8820833,3.4095221515480056e-05,3.4095221515480056e-05
8,Crafting a bowl out of,craft a bowl out of,Can you craft a bowl out of,[NP] crafted a bowl out of,material,inconceivable_semantic,friction,2402031,258711708208,2402031,9.284585597760448e-06,9.284585597760448e-06
9,Growing vegetables in,grow vegetables in,Can you grow vegetables in,[NP] grew vegetables in,material,probable,soil,12918222,258711708208,12918222,4.9932885100097444e-05,4.9932885100097444e-05
9,Growing vegetables in,grow vegetables in,Can you grow vegetables in,[NP] grew vegetables in,material,improbable,sand,6905281,258711708208,6905281,2.6691026269473148e-05,2.6691026269473148e-05
9,Growing vegetables in,grow vegetables in,Can you grow vegetables in,[NP] grew vegetables in,material,impossible_physics,bleach,269026,258711708208,269026,1.0398678972182716e-06,1.0398678972182716e-06
9,Growing vegetables in,grow vegetables in,Can you grow vegetables in,[NP] grew vegetables in,material,impossible_magic,stardust,8402,258711708208,8402,3.247630367484153e-08,3.247630367484153e-08
9,Growing vegetables in,grow vegetables in,Can you grow vegetables in,[NP] grew vegetables in,material,inconceivable_syntactic,become,65065794,258711708208,65065794,0.0002514992245642326,0.0002514992245642326
9,Growing vegetables in,grow vegetables in,Can you grow vegetables in,[NP] grew vegetables in,material,inconceivable_semantic,justice,12850982,258711708208,12850982,4.9672981903347104e-05,4.9672981903347104e-05
10,Writing a letter using,write a letter using,Can you write a letter using,[NP] wrote a letter using,tool,probable,a pen,480968,3902120543,3943997,0.00012325810919983155,1.8590886486409403e-06
10,Writing a letter using,write a letter using,Can you write a letter using,[NP] wrote a letter using,tool,improbable,a toothbrush,57972,3902120543,220641,1.4856537454742591e-05,2.240795378050361e-07
10,Writing a letter using,write a letter using,Can you write a letter using,[NP] wrote a letter using,tool,impossible_physics,wind,14378841,258711708208,14378841,5.557862494742467e-05,5.557862494742467e-05
10,Writing a letter using,write a letter using,Can you write a letter using,[NP] wrote a letter using,tool,impossible_magic,a wand,38856,3902120543,380955,9.95766265337539e-06,1.5019034225061206e-07
10,Writing a letter using,write a letter using,Can you write a letter using,[NP] wrote a letter using,tool,inconceivable_syntactic,onto,14135249,258711708208,14135249,5.463706725107118e-05,5.463706725107118e-05
10,Writing a letter using,write a letter using,Can you write a letter using,[NP] wrote a letter using,tool,inconceivable_semantic,time,307017789,258711708208,307017789,0.0011867177992314236,0.0011867177992314236
11,Cooking dinner out of,cook dinner out of,Can you cook dinner out of,[NP] cooked dinner out of,material,probable,pasta,924575,258711708208,924575,3.5737655879750783e-06,3.5737655879750783e-06
11,Cooking dinner out of,cook dinner out of,Can you cook dinner out of,[NP] cooked dinner out of,material,improbable,clay,4172979,258711708208,4172979,1.6129842089114084e-05,1.6129842089114084e-05
11,Cooking dinner out of,cook dinner out of,Can you cook dinner out of,[NP] cooked dinner out of,material,impossible_physics,thunder,1712805,258711708208,1712805,6.620515986168406e-06,6.620515986168406e-06
11,Cooking dinner out of,cook dinner out of,Can you cook dinner out of,[NP] cooked dinner out of,material,impossible_magic,a potion,32701,3902120543,216159,8.380315174697052e-06,1.2639938186991107e-07
11,Cooking dinner out of,cook dinner out of,Can you cook dinner out of,[NP] cooked dinner out of,material,inconceivable_syntactic,through,174858106,258711708208,174858106,0.0006758801416881254,0.0006758801416881254
11,Cooking dinner out of,cook dinner out of,Can you cook dinner out of,[NP] cooked dinner out of,material,inconceivable_semantic,words,58667139,258711708208,58667139,0.00022676646297288013,0.00022676646297288013
12,Taking a bath in,take a bath in,Can you take a bath in,[NP] took a bath in,material,probable,bubbles,1064823,258711708208,1064823,4.115867068311805e-06,4.115867068311805e-06
12,Taking a bath in,take a bath in,Can you take a bath in,[NP] took a bath in,material,improbable,tea,6709912,258711708208,6709912,2.5935865239640953e-05,2.5935865239640953e-05
12,Taking a bath in,take a bath in,Can you take a bath in,[NP] took a bath in,material,impossible_physics,light,55341134,258711708208,55341134,0.0002139104348362411,0.0002139104348362411
12,Taking a bath in,take a bath in,Can you take a bath in,[NP] took a bath in,material,impossible_magic,crystals,2466374,258711708208,2466374,9.533291002110641e-06,9.533291002110641e-06
12,Taking a bath in,take a bath in,Can you take a bath in,[NP] took a bath in,material,inconceivable_syntactic,without,105996634,258711708208,105996634,0.0004097094589734626,0.0004097094589734626
12,Taking a bath in,take a bath in,Can you take a bath in,[NP] took a bath in,material,inconceivable_semantic,language,40336806,258711708208,40336806,0.00015591411103655915,0.00015591411103655915
13,Brewing coffee using,brew coffee using,Can you brew coffee using,[NP] brewed coffee using,tool,probable,water,79827626,258711708208,79827626,0.00030855822704328436,0.00030855822704328436
13,Brewing coffee using,brew coffee using,Can you brew coffee using,[NP] brewed coffee using,tool,improbable,soda,1487896,258711708208,1487896,5.751173807734112e-06,5.751173807734112e-06
13,Brewing coffee using,brew coffee using,Can you brew coffee using,[NP] brewed coffee using,tool,impossible_physics,glue,1341168,258711708208,1341168,5.184025142463683e-06,5.184025142463683e-06
13,Brewing coffee using,brew coffee using,Can you brew coffee using,[NP] brewed coffee using,tool,impossible_magic,lightsabers,3095,258711708208,3095,1.1963123050896754e-08,1.1963123050896754e-08
13,Brewing coffee using,brew coffee using,Can you brew coffee using,[NP] brewed coffee using,tool,inconceivable_syntactic,into,310786940,258711708208,310786940,0.0012012867224011846,0.0012012867224011846
13,Brewing coffee using,brew coffee using,Can you brew coffee using,[NP] brewed coffee using,tool,inconceivable_semantic,numbers,23546630,258711708208,23546630,9.101493768140131e-05,9.101493768140131e-05
14,Painting a house using,paint a house using,Can you paint a house using,[NP] painted a house using,tool,probable,a brush,272550,3902120543,3742133,6.984663774391247e-05,1.053489236679131e-06
14,Painting a house using,paint a house using,Can you paint a house using,[NP] painted a house using,tool,improbable,a mop,50190,3902120543,308464,1.2862237198191035e-05,1.9399972404669083e-07
14,Painting a house using,paint a house using,Can you paint a house using,[NP] painted a house using,tool,impossible_physics,a planet,288415,3902120543,3640138,7.39123758022767e-05,1.1148123213972174e-06
14,Painting a house using,paint a house using,Can you paint a house using,[NP] painted a house using,tool,impossible_magic,incantations,161128,258711708208,161128,6.22809076234214e-07,6.22809076234214e-07
14,Painting a house using,paint a house using,Can you paint a house using,[NP] painted a house using,tool,inconceivable_syntactic,before,148232119,258711708208,148232119,0.0005729625459425431,0.0005729625459425431
14,Painting a house using,paint a house using,Can you paint a house using,[NP] painted a house using,tool,inconceivable_semantic,questions,31848556,258711708208,31848556,0.00012310442469188243,0.00012310442469188243
15,Crafting jewelry using,craft jewelry using,Can you craft jewelry using,[NP] crafted jewelry using,tool,probable,beads,1674267,258711708208,1674267,6.4715548113265775e-06,6.4715548113265775e-06
15,Crafting jewelry using,craft jewelry using,Can you craft jewelry using,[NP] crafted jewelry using,tool,improbable,leather,4006501,258711708208,4006501,1.5486353624084297e-05,1.5486353624084297e-05
15,Crafting jewelry using,craft jewelry using,Can you craft jewelry using,[NP] crafted jewelry using,tool,impossible_physics,a volcano,136783,3902120543,652281,3.505350449651652e-05,5.287081939485657e-07
15,Crafting jewelry using,craft jewelry using,Can you craft jewelry using,[NP] crafted jewelry using,tool,impossible_magic,alchemy,296178,258711708208,296178,1.144818694335541e-06,1.144818694335541e-06
15,Crafting jewelry using,craft jewelry using,Can you craft jewelry using,[NP] crafted jewelry using,tool,inconceivable_syntactic,until,73356811,258711708208,73356811,0.0002835465449481023,0.0002835465449481023
15,Crafting jewelry using,craft jewelry using,Can you craft jewelry using,[NP] crafted jewelry using,tool,inconceivable_semantic,opinions,6078838,258711708208,6078838,2.3496570920990995e-05,2.3496570920990995e-05
16,Docking a boat using,dock a boat using,Can you dock a boat using,[NP] docked a boat using,tool,probable,an anchor,178905,679253970,1980275,0.00026338454819778233,6.915226266302695e-07
16,Docking a boat using,dock a boat using,Can you dock a boat using,[NP] docked a boat using,tool,improbable,an anvil,40464,679253970,230055,5.957123813350697e-05,1.5640575480823467e-07
16,Docking a boat using,dock a boat using,Can you dock a boat using,[NP] docked a boat using,tool,impossible_physics,a balloon,232852,3902120543,1546718,5.967319498053754e-05,9.000443065096643e-07
16,Docking a boat using,dock a boat using,Can you dock a boat using,[NP] docked a boat using,tool,impossible_magic,a dragon,216154,3902120543,1455882,5.539398325040416e-05,8.355014216295758e-07
16,Docking a boat using,dock a boat using,Can you dock a boat using,[NP] docked a boat using,tool,inconceivable_syntactic,forgive,2867415,258711708208,2867415,1.1083437312758358e-05,1.1083437312758358e-05
16,Docking a boat using,dock a boat using,Can you dock a boat using,[NP] docked a boat using,tool,inconceivable_semantic,greetings,536444,258711708208,536444,2.0735203818789206e-06,2.0735203818789206e-06
17,Sealing a box using,seal a box using,Can you seal a box using,[NP] sealed a box using,tool,probable,tape,6333415,258711708208,6333415,2.4480589007235952e-05,2.4480589007235952e-05
17,Sealing a box using,seal a box using,Can you seal a box using,[NP] sealed a box using,tool,improbable,magnets,401165,258711708208,401165,1.5506256086310166e-06,1.5506256086310166e-06
17,Sealing a box using,seal a box using,Can you seal a box using,[NP] sealed a box using,tool,impossible_physics,wine,10016277,258711708208,10016277,3.8715978760215506e-05,3.8715978760215506e-05
17,Sealing a box using,seal a box using,Can you seal a box using,[NP] sealed a box using,tool,impossible_magic,sorcery,340147,258711708208,340147,1.3147723477846135e-06,1.3147723477846135e-06
17,Sealing a box using,seal a box using,Can you seal a box using,[NP] sealed a box using,tool,inconceivable_syntactic,do,325689791,258711708208,325689791,0.0012588908065117436,0.0012588908065117436
17,Sealing a box using,seal a box using,Can you seal a box using,[NP] sealed a box using,tool,inconceivable_semantic,jokes,1513866,258711708208,1513866,5.851555812784771e-06,5.851555812784771e-06
18,Smashing a pumpkin using,smash a pumpkin using,Can you smash a pumpkin using,[NP] smashed a pumpkin using,tool,probable,a hammer,322504,3902120543,1632549,8.264839500628415e-05,1.2465767484350266e-06
18,Smashing a pumpkin using,smash a pumpkin using,Can you smash a pumpkin using,[NP] smashed a pumpkin using,tool,improbable,a brick,355559,3902120543,3216329,9.111943008471023e-05,1.3743444487411305e-06
18,Smashing a pumpkin using,smash a pumpkin using,Can you smash a pumpkin using,[NP] smashed a pumpkin using,tool,impossible_physics,a leaf,425214,3902120543,4797022,0.00010896998063342504,1.643582360246854e-06
18,Smashing a pumpkin using,smash a pumpkin using,Can you smash a pumpkin using,[NP] smashed a pumpkin using,tool,impossible_magic,a wizard,105841,3902120543,732818,2.7123969860405207e-05,4.091078858901336e-07
18,Smashing a pumpkin using,smash a pumpkin using,Can you smash a pumpkin using,[NP] smashed a pumpkin using,tool,inconceivable_syntactic,have,721253570,258711708208,721253570,0.0027878659802289423,0.0027878659802289423
18,Smashing a pumpkin using,smash a pumpkin using,Can you smash a pumpkin using,[NP] smashed a pumpkin using,tool,inconceivable_semantic,a number,21703621,3902120543,102023260,0.00556200680138753,8.389114335154342e-05
19,Wiping a spill using,wipe a spill using,Can you wipe a spill using,[NP] wiped a spill using,tool,probable,a tissue,262673,3902120543,11984041,6.731544992150695e-05,1.0153116061868184e-06
19,Wiping a spill using,wipe a spill using,Can you wipe a spill using,[NP] wiped a spill using,tool,improbable,a scarf,113480,3902120543,701149,2.908162337618487e-05,4.3863496084515793e-07
19,Wiping a spill using,wipe a spill using,Can you wipe a spill using,[NP] wiped a spill using,tool,impossible_physics,a piano,341095,3902120543,4077027,8.741272757754476e-05,1.3184366581730625e-06
19,Wiping a spill using,wipe a spill using,Can you wipe a spill using,[NP] wiped a spill using,tool,impossible_magic,divination,344307,258711708208,344307,1.33085202206304e-06,1.33085202206304e-06
19,Wiping a spill using,wipe a spill using,Can you wipe a spill using,[NP] wiped a spill using,tool,inconceivable_syntactic,make,138111888,258711708208,138111888,0.0005338447531294575,0.0005338447531294575
19,Wiping a spill using,wipe a spill using,Can you wipe a spill using,[NP] wiped a spill using,tool,inconceivable_semantic,sentences,5405396,258711708208,5405396,2.0893511304305368e-05,2.0893511304305368e-05
20,Constructing a castle using,construct a castle using,Can you construct a castle using,[NP] constructed a castle using,tool,probable,bricks,1072405,258711708208,1072405,4.145173820806764e-06,4.145173820806764e-06
20,Constructing a castle using,construct a castle using,Can you construct a castle using,[NP] constructed a castle using,tool,improbable,gems,525219,258711708208,525219,2.030132318471387e-06,2.030132318471387e-06
20,Constructing a castle using,construct a castle using,Can you construct a castle using,[NP] constructed a castle using,tool,impossible_physics,a star,1035566,3902120543,7400552,0.00026538544583347076,4.002779801397399e-06
20,Constructing a castle using,construct a castle using,Can you construct a castle using,[NP] constructed a castle using,tool,impossible_magic,wizardry,65806,258711708208,65806,2.5436034749186165e-07,2.5436034749186165e-07
20,Constructing a castle using,construct a castle using,Can you construct a castle using,[NP] constructed a castle using,tool,inconceivable_syntactic,follow,24506813,258711708208,24506813,9.472633909670962e-05,9.472633909670962e-05
20,Constructing a castle using,construct a castle using,Can you construct a castle using,[NP] constructed a castle using,tool,inconceivable_semantic,boredom,802719,258711708208,802719,3.102754821419319e-06,3.102754821419319e-06
21,Lighting a candle with,light a candle with,Can you light a candle with,[NP] lit a candle with,tool,probable,a match,743722,3902120543,7075971,0.0001905943170654121,2.87471334463943e-06
21,Lighting a candle with,light a candle with,Can you light a candle with,[NP] lit a candle with,tool,improbable,a blowtorch,13279,3902120543,24143,3.403021473496289e-06,5.1327402582506625e-08
21,Lighting a candle with,light a candle with,Can you light a candle with,[NP] lit a candle with,tool,impossible_physics,a pool,660700,3902120543,6769189,0.000169318193202726,2.5538078835953103e-06
21,Lighting a candle with,light a candle with,Can you light a candle with,[NP] lit a candle with,tool,impossible_magic,spells,910384,258711708208,910384,3.518913026031532e-06,3.518913026031532e-06
21,Lighting a candle with,light a candle with,Can you light a candle with,[NP] lit a candle with,tool,inconceivable_syntactic,choose,14586540,258711708208,14586540,5.63814452041446e-05,5.63814452041446e-05
21,Lighting a candle with,light a candle with,Can you light a candle with,[NP] lit a candle with,tool,inconceivable_semantic,years,143017525,258711708208,143017525,0.0005528065428141205,0.0005528065428141205
22,Towing a car using,tow a car using,Can you tow a car using,[NP] towed a car using,tool,probable,a truck,552568,3902120543,5218306,0.000141607106677227,2.1358445809330914e-06
22,Towing a car using,tow a car using,Can you tow a car using,[NP] towed a car using,tool,improbable,a horse,2151477,3902120543,13863385,0.0005513609782915412,8.316117638828496e-06
22,Towing a car using,tow a car using,Can you tow a car using,[NP] towed a car using,tool,impossible_physics,a butterfly,217005,3902120543,901941,5.56120697986341e-05,8.387907973052828e-07
22,Towing a car using,tow a car using,Can you tow a car using,[NP] towed a car using,tool,impossible_magic,aliens,1140796,258711708208,1140796,4.409525985127888e-06,4.409525985127888e-06
22,Towing a car using,tow a car using,Can you tow a car using,[NP] towed a car using,tool,inconceivable_syntactic,then,205713659,258711708208,205713659,0.0007951463056113779,0.0007951463056113779
22,Towing a car using,tow a car using,Can you tow a car using,[NP] towed a car using,tool,inconceivable_semantic,freedom,18050732,258711708208,18050732,6.977160842480119e-05,6.977160842480119e-05
23,Starting a fire using,start a fire using,Can you start a fire using,[NP] started a fire using,tool,probable,kindling,293720,258711708208,293720,1.1353177714085282e-06,1.1353177714085282e-06
23,Starting a fire using,start a fire using,Can you start a fire using,[NP] started a fire using,tool,improbable,furniture,4673042,258711708208,4673042,1.806273876187679e-05,1.806273876187679e-05
23,Starting a fire using,start a fire using,Can you start a fire using,[NP] started a fire using,tool,impossible_physics,milk,9404231,258711708208,9404231,3.635023349016408e-05,3.635023349016408e-05
23,Starting a fire using,start a fire using,Can you start a fire using,[NP] started a fire using,tool,impossible_magic,enchantments,68154,258711708208,68154,2.634360867240121e-07,2.634360867240121e-07
23,Starting a fire using,start a fire using,Can you start a fire using,[NP] started a fire using,tool,inconceivable_syntactic,sometimes,33281574,258711708208,33281574,0.00012864347821955609,0.00012864347821955609
23,Starting a fire using,start a fire using,Can you start a fire using,[NP] started a fire using,tool,inconceivable_semantic,traffic,7416266,258711708208,7416266,2.8666139817829362e-05,2.8666139817829362e-05
24,Building a bridge out of,construct a bridge out of,Can you construct a bridge out of,[NP] constructed a bridge out of,material,probable,steel,9338533,258711708208,9338533,3.609629059575445e-05,3.609629059575445e-05
24,Building a bridge out of,construct a bridge out of,Can you construct a bridge out of,[NP] constructed a bridge out of,material,improbable,plastic,6552219,258711708208,6552219,2.532633349060539e-05,2.532633349060539e-05
24,Building a bridge out of,construct a bridge out of,Can you construct a bridge out of,[NP] constructed a bridge out of,material,impossible_physics,gas,16019027,258711708208,16019027,6.191844625416398e-05,6.191844625416398e-05
24,Building a bridge out of,construct a bridge out of,Can you construct a bridge out of,[NP] constructed a bridge out of,material,impossible_magic,ambrosia,56696,258711708208,56696,2.1914740694463405e-07,2.1914740694463405e-07
24,Building a bridge out of,construct a bridge out of,Can you construct a bridge out of,[NP] constructed a bridge out of,material,inconceivable_syntactic,from,855581431,258711708208,855581431,0.003307084309891868,0.003307084309891868
24,Building a bridge out of,construct a bridge out of,Can you construct a bridge out of,[NP] constructed a bridge out of,material,inconceivable_semantic,truth,26343641,258711708208,26343641,0.00010182624196822257,0.00010182624196822257
25,Shoveling a driveway full of,shovel a driveway full of,Can you shovel a driveway full of,[NP] shoveled a driveway full of,material,probable,snow,7676921,258711708208,7676921,2.9673651235868616e-05,2.9673651235868616e-05
25,Shoveling a driveway full of,shovel a driveway full of,Can you shovel a driveway full of,[NP] shoveled a driveway full of,material,improbable,ice,10219569,258711708208,10219569,3.950176461199674e-05,3.950176461199674e-05
25,Shoveling a driveway full of,shovel a driveway full of,Can you shovel a driveway full of,[NP] shoveled a driveway full of,material,impossible_physics,sunshine,1555991,258711708208,1555991,6.0143818413854255e-06,6.0143818413854255e-06
25,Shoveling a driveway full of,shovel a driveway full of,Can you shovel a driveway full of,[NP] shoveled a driveway full of,material,impossible_magic,ogres,49429,258711708208,49429,1.910582259395075e-07,1.910582259395075e-07
25,Shoveling a driveway full of,shovel a driveway full of,Can you shovel a driveway full of,[NP] shoveled a driveway full of,material,inconceivable_syntactic,except,26406548,258711708208,26406548,0.00010206939679270164,0.00010206939679270164
25,Shoveling a driveway full of,shovel a driveway full of,Can you shovel a driveway full of,[NP] shoveled a driveway full of,material,inconceivable_semantic,rumors,1472775,258711708208,1472775,5.692726510915822e-06,5.692726510915822e-06
26,Constructing a tower using,construct a tower using,Can you construct a tower using,[NP] constructed a tower using,material,probable,concrete,7911806,258711708208,7911806,3.05815537101206e-05,3.05815537101206e-05
26,Constructing a tower using,construct a tower using,Can you construct a tower using,[NP] constructed a tower using,material,improbable,blocks,6275203,258711708208,6275203,2.425558179591485e-05,2.425558179591485e-05
26,Constructing a tower using,construct a tower using,Can you construct a tower using,[NP] constructed a tower using,material,impossible_physics,a lake,504668,3902120543,5749126,0.00012933172987321525,1.950696408352169e-06
26,Constructing a tower using,construct a tower using,Can you construct a tower using,[NP] constructed a tower using,material,impossible_magic,your mind,2299540,253983139,54420182,0.00905390810214374,8.888426488032028e-06
26,Constructing a tower using,construct a tower using,Can you construct a tower using,[NP] constructed a tower using,material,inconceivable_syntactic,while,99451923,258711708208,99451923,0.0003844121462026847,0.0003844121462026847
26,Constructing a tower using,construct a tower using,Can you construct a tower using,[NP] constructed a tower using,material,inconceivable_semantic,laughter,3980445,258711708208,3980445,1.5385639202690384e-05,1.5385639202690384e-05
27,Knitting a scarf using,knit a scarf using,Can you knit a scarf using,[NP] knitted a scarf using,material,probable,yarn,1018417,258711708208,1018417,3.9364936633683745e-06,3.9364936633683745e-06
