rt,stimulus,response,task_type,correct_response,attemps,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,correct,attempts,session_file_id
1428,Could someone lock a door with a day?,1,practice,0,1,html-keyboard-response,6,24467,0.0-1.0-0.5,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,False,0,session-65a0480f36680
1951,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,26419,0.0-1.0-0.6,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,0,session-65a0480f36680
2510,Could someone smash a pumpkin with sadness?,1,practice,0,1,html-keyboard-response,8,28929,0.0-1.0-0.7,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,False,0,session-65a0480f36680
2443,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,9,35727,0.0-1.1-0.8,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
1168,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,10,36895,0.0-1.1-0.9,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
2251,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,11,39147,0.0-1.1-0.10,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
1219,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,12,40366,0.0-1.1-0.11,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
1090,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,13,41456,0.0-1.1-0.12,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
1977,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,14,43433,0.0-1.1-0.13,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
809,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,15,44243,0.0-1.1-0.14,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
1072,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,16,45315,0.0-1.1-0.15,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,1,session-65a0480f36680
2720,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,7354,0.0-1.0-0.0,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,0,session-65a0480f911e6
1997,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,9352,0.0-1.0-0.1,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,0,session-65a0480f911e6
2253,Could someone find an alligator under their bed?,0,practice,1,1,html-keyboard-response,3,11606,0.0-1.0-0.2,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,False,0,session-65a0480f911e6
2656,Could someone pour a glass of honey?,0,practice,1,1,html-keyboard-response,4,14263,0.0-1.0-0.3,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,False,0,session-65a0480f911e6
1928,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,16191,0.0-1.0-0.4,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,0,session-65a0480f911e6
2883,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,6,19075,0.0-1.0-0.5,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,0,session-65a0480f911e6
1723,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,20799,0.0-1.0-0.6,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,0,session-65a0480f911e6
1924,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,8,22724,0.0-1.0-0.7,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,0,session-65a0480f911e6
3580,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,9,31996,0.0-1.1-0.8,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
1917,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,10,33914,0.0-1.1-0.9,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
2376,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,11,36290,0.0-1.1-0.10,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
1297,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,12,37588,0.0-1.1-0.11,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
1440,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,13,39028,0.0-1.1-0.12,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
1633,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,14,40662,0.0-1.1-0.13,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
2055,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,15,42717,0.0-1.1-0.14,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
1121,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,16,43839,0.0-1.1-0.15,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,True,1,session-65a0480f911e6
1777,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,20129,0.0-1.0-0.0,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
2036,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,22177,0.0-1.0-0.1,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
3746,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,3,25935,0.0-1.0-0.2,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
2934,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,4,28879,0.0-1.0-0.3,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
1415,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,30303,0.0-1.0-0.4,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
1931,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,6,32237,0.0-1.0-0.5,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
1179,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,33421,0.0-1.0-0.6,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
1610,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,8,35038,0.0-1.0-0.7,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,True,0,session-65a05b470364e
2275,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,26626,0.0-1.0-0.0,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,0,session-65a05b7603cc7
2074,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,28701,0.0-1.0-0.1,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,0,session-65a05b7603cc7
1474,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,3,30175,0.0-1.0-0.2,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,0,session-65a05b7603cc7
1688,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,4,31864,0.0-1.0-0.3,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,0,session-65a05b7603cc7
2178,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,34043,0.0-1.0-0.4,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,0,session-65a05b7603cc7
3885,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,6,37929,0.0-1.0-0.5,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,0,session-65a05b7603cc7
1259,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,39189,0.0-1.0-0.6,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,0,session-65a05b7603cc7
2678,Could someone smash a pumpkin with sadness?,1,practice,0,1,html-keyboard-response,8,41868,0.0-1.0-0.7,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,False,0,session-65a05b7603cc7
725,Could someone drink a glass of water?,0,practice,1,1,html-keyboard-response,9,45780,0.0-1.1-0.8,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,False,1,session-65a05b7603cc7
2780,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,10,48561,0.0-1.1-0.9,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,1,session-65a05b7603cc7
2660,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,11,51222,0.0-1.1-0.10,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,1,session-65a05b7603cc7
765,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,12,51987,0.0-1.1-0.11,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,1,session-65a05b7603cc7
1164,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,13,53152,0.0-1.1-0.12,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,1,session-65a05b7603cc7
1330,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,14,54483,0.0-1.1-0.13,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,1,session-65a05b7603cc7
1196,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,15,55679,0.0-1.1-0.14,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,1,session-65a05b7603cc7
843,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,16,56522,0.0-1.1-0.15,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,1,session-65a05b7603cc7
1811,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,17,62808,0.0-1.2-0.16,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,2,session-65a05b7603cc7
4226,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,18,67035,0.0-1.2-0.17,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,2,session-65a05b7603cc7
2931,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,19,69966,0.0-1.2-0.18,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,2,session-65a05b7603cc7
4618,Could someone pour a glass of honey?,0,practice,1,1,html-keyboard-response,20,74584,0.0-1.2-0.19,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,False,2,session-65a05b7603cc7
1166,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,21,75751,0.0-1.2-0.20,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,2,session-65a05b7603cc7
4599,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,22,80351,0.0-1.2-0.21,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,2,session-65a05b7603cc7
1491,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,23,81842,0.0-1.2-0.22,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,2,session-65a05b7603cc7
1890,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,24,83732,0.0-1.2-0.23,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,2,session-65a05b7603cc7
3145,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,25,89559,0.0-1.3-0.24,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,3,session-65a05b7603cc7
5489,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,26,95049,0.0-1.3-0.25,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,3,session-65a05b7603cc7
3519,Could someone find an alligator under their bed?,0,practice,1,1,html-keyboard-response,27,98569,0.0-1.3-0.26,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,False,3,session-65a05b7603cc7
1436,Could someone pour a glass of honey?,0,practice,1,1,html-keyboard-response,28,100006,0.0-1.3-0.27,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,False,3,session-65a05b7603cc7
1005,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,29,101011,0.0-1.3-0.28,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,3,session-65a05b7603cc7
857,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,30,101869,0.0-1.3-0.29,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,3,session-65a05b7603cc7
2288,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,31,104157,0.0-1.3-0.30,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,3,session-65a05b7603cc7
1341,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,32,105499,0.0-1.3-0.31,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,3,session-65a05b7603cc7
4412,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,33,113211,0.0-1.4-0.32,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
2539,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,34,115751,0.0-1.4-0.33,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
1516,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,35,117268,0.0-1.4-0.34,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
5385,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,36,122653,0.0-1.4-0.35,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
2719,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,37,125373,0.0-1.4-0.36,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
4667,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,38,130041,0.0-1.4-0.37,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
3431,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,39,133472,0.0-1.4-0.38,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
2290,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,40,135762,0.0-1.4-0.39,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,True,4,session-65a05b7603cc7
4010,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,32906,0.0-1.0-0.0,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
4030,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,36938,0.0-1.0-0.1,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
2343,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,3,39282,0.0-1.0-0.2,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
3246,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,4,42529,0.0-1.0-0.3,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
2272,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,44802,0.0-1.0-0.4,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
3726,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,6,48529,0.0-1.0-0.5,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
1425,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,49954,0.0-1.0-0.6,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
1448,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,8,51403,0.0-1.0-0.7,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,True,0,session-65a04919e5681
1735,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,16464,0.0-1.0-0.0,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
1988,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,18453,0.0-1.0-0.1,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
1954,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,3,20407,0.0-1.0-0.2,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
2263,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,4,22670,0.0-1.0-0.3,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
2867,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,25537,0.0-1.0-0.4,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
4746,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,6,30284,0.0-1.0-0.5,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
2068,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,32352,0.0-1.0-0.6,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
2263,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,8,34615,0.0-1.0-0.7,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,True,0,session-65a04040ce87a
29028,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,32046,0.0-1.0-0.0,anon_subject_192,659f04805339f753c1b65235,65a02a8b15177d3861dbe02e,0.7261492057711199,True,0,session-65a02c23dc123
6137,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,38186,0.0-1.0-0.1,anon_subject_192,659f04805339f753c1b65235,65a02a8b15177d3861dbe02e,0.7261492057711199,True,0,session-65a02c23dc123
