item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model,revision
18,He covered a window using,inconceivable_syntactic,make.,-12.717133522033691,-6.358566761016846,allenai/OLMo-7B-0424-hf,step500-tokens2B
19,He crafted a bowl out of,probable,clay.,-12.67110824584961,-6.335554122924805,allenai/OLMo-7B-0424-hf,step500-tokens2B
19,He crafted a bowl out of,improbable,mud.,-12.565831184387207,-6.2829155921936035,allenai/OLMo-7B-0424-hf,step500-tokens2B
19,He crafted a bowl out of,impossible,smoke.,-11.331111907958984,-5.665555953979492,allenai/OLMo-7B-0424-hf,step500-tokens2B
19,He crafted a bowl out of,inconceivable,math.,-11.54608154296875,-5.773040771484375,allenai/OLMo-7B-0424-hf,step500-tokens2B
19,He crafted a bowl out of,inconceivable_syntactic,follow.,-12.3208589553833,-6.16042947769165,allenai/OLMo-7B-0424-hf,step500-tokens2B
20,He crushed a soda can using,probable,a shoe.,-18.07311725616455,-6.024372418721517,allenai/OLMo-7B-0424-hf,step500-tokens2B
20,He crushed a soda can using,improbable,a chair.,-16.35028839111328,-5.450096130371094,allenai/OLMo-7B-0424-hf,step500-tokens2B
20,He crushed a soda can using,impossible,a tissue.,-18.400785446166992,-6.133595148722331,allenai/OLMo-7B-0424-hf,step500-tokens2B
20,He crushed a soda can using,inconceivable,a day.,-14.352644443511963,-4.784214814503987,allenai/OLMo-7B-0424-hf,step500-tokens2B
20,He crushed a soda can using,inconceivable_syntactic,choose.,-14.04580020904541,-7.022900104522705,allenai/OLMo-7B-0424-hf,step500-tokens2B
21,He cut grass using,probable,a lawnmower.,-34.01714372634888,-6.803428745269775,allenai/OLMo-7B-0424-hf,step500-tokens2B
21,He cut grass using,improbable,a scythe.,-33.88860034942627,-6.7777200698852536,allenai/OLMo-7B-0424-hf,step500-tokens2B
21,He cut grass using,impossible,a popsicle.,-31.674012184143066,-7.918503046035767,allenai/OLMo-7B-0424-hf,step500-tokens2B
21,He cut grass using,inconceivable,an essay.,-17.4120454788208,-5.804015159606934,allenai/OLMo-7B-0424-hf,step500-tokens2B
21,He cut grass using,inconceivable_syntactic,then.,-10.70651912689209,-5.353259563446045,allenai/OLMo-7B-0424-hf,step500-tokens2B
22,He cut cardboard using,probable,scissors.,-25.767173767089844,-8.589057922363281,allenai/OLMo-7B-0424-hf,step500-tokens2B
22,He cut cardboard using,improbable,a scalpel.,-27.040395736694336,-6.760098934173584,allenai/OLMo-7B-0424-hf,step500-tokens2B
22,He cut cardboard using,impossible,fur.,-13.360518455505371,-6.6802592277526855,allenai/OLMo-7B-0424-hf,step500-tokens2B
22,He cut cardboard using,inconceivable,a snore.,-27.688037872314453,-6.922009468078613,allenai/OLMo-7B-0424-hf,step500-tokens2B
22,He cut cardboard using,inconceivable_syntactic,sometimes.,-13.27731990814209,-6.638659954071045,allenai/OLMo-7B-0424-hf,step500-tokens2B
23,He dented a car with,probable,a baseball bat.,-26.731053352355957,-6.682763338088989,allenai/OLMo-7B-0424-hf,step500-tokens2B
23,He dented a car with,improbable,a dumbbell.,-25.16285800933838,-6.290714502334595,allenai/OLMo-7B-0424-hf,step500-tokens2B
23,He dented a car with,impossible,a breeze.,-15.668014526367188,-5.2226715087890625,allenai/OLMo-7B-0424-hf,step500-tokens2B
23,He dented a car with,inconceivable,a nap.,-17.01256275177002,-5.670854250590007,allenai/OLMo-7B-0424-hf,step500-tokens2B
23,He dented a car with,inconceivable_syntactic,from.,-9.723601341247559,-4.861800670623779,allenai/OLMo-7B-0424-hf,step500-tokens2B
24,He dug a hole using,probable,a shovel.,-21.0601749420166,-7.020058314005534,allenai/OLMo-7B-0424-hf,step500-tokens2B
24,He dug a hole using,improbable,a spatula.,-29.810916900634766,-7.452729225158691,allenai/OLMo-7B-0424-hf,step500-tokens2B
24,He dug a hole using,impossible,dirt.,-13.129706382751465,-6.564853191375732,allenai/OLMo-7B-0424-hf,step500-tokens2B
24,He dug a hole using,inconceivable,a yawn.,-29.552077293395996,-7.388019323348999,allenai/OLMo-7B-0424-hf,step500-tokens2B
24,He dug a hole using,inconceivable_syntactic,except.,-12.294323921203613,-6.147161960601807,allenai/OLMo-7B-0424-hf,step500-tokens2B
25,He dipped a biscuit into,probable,coffee.,-12.328776359558105,-6.164388179779053,allenai/OLMo-7B-0424-hf,step500-tokens2B
25,He dipped a biscuit into,improbable,wine.,-12.792060852050781,-6.396030426025391,allenai/OLMo-7B-0424-hf,step500-tokens2B
25,He dipped a biscuit into,impossible,a floor.,-15.423775672912598,-5.141258557637532,allenai/OLMo-7B-0424-hf,step500-tokens2B
25,He dipped a biscuit into,inconceivable,a myth.,-14.178696632385254,-4.726232210795085,allenai/OLMo-7B-0424-hf,step500-tokens2B
25,He dipped a biscuit into,inconceivable_syntactic,by.,-9.786404609680176,-4.893202304840088,allenai/OLMo-7B-0424-hf,step500-tokens2B
26,He displayed books on,probable,a shelf.,-16.378334045410156,-5.459444681803386,allenai/OLMo-7B-0424-hf,step500-tokens2B
26,He displayed books on,improbable,a bed.,-17.813753128051758,-5.937917709350586,allenai/OLMo-7B-0424-hf,step500-tokens2B
26,He displayed books on,impossible,a galaxy.,-19.022942543029785,-6.340980847676595,allenai/OLMo-7B-0424-hf,step500-tokens2B
26,He displayed books on,inconceivable,a sigh.,-16.130452156066895,-5.376817385355632,allenai/OLMo-7B-0424-hf,step500-tokens2B
26,He displayed books on,inconceivable_syntactic,for.,-12.219226837158203,-6.109613418579102,allenai/OLMo-7B-0424-hf,step500-tokens2B
27,He docked a boat using,probable,an anchor.,-21.87722873687744,-7.292409578959147,allenai/OLMo-7B-0424-hf,step500-tokens2B
27,He docked a boat using,improbable,an anvil.,-32.9222469329834,-8.23056173324585,allenai/OLMo-7B-0424-hf,step500-tokens2B
27,He docked a boat using,impossible,a balloon.,-19.097474098205566,-6.3658246994018555,allenai/OLMo-7B-0424-hf,step500-tokens2B
27,He docked a boat using,inconceivable,a lesson.,-18.130800247192383,-6.043600082397461,allenai/OLMo-7B-0424-hf,step500-tokens2B
27,He docked a boat using,inconceivable_syntactic,though.,-13.892533302307129,-6.9462666511535645,allenai/OLMo-7B-0424-hf,step500-tokens2B
28,He drank a cup full of,probable,water.,-10.665600776672363,-5.332800388336182,allenai/OLMo-7B-0424-hf,step500-tokens2B
28,He drank a cup full of,improbable,honey.,-14.552810668945312,-7.276405334472656,allenai/OLMo-7B-0424-hf,step500-tokens2B
28,He drank a cup full of,impossible,lightning.,-13.47064208984375,-6.735321044921875,allenai/OLMo-7B-0424-hf,step500-tokens2B
28,He drank a cup full of,inconceivable,minutes.,-11.922309875488281,-5.961154937744141,allenai/OLMo-7B-0424-hf,step500-tokens2B
28,He drank a cup full of,inconceivable_syntactic,during.,-13.732939720153809,-6.866469860076904,allenai/OLMo-7B-0424-hf,step500-tokens2B
29,He dried his hands using,probable,a towel.,-16.93118381500244,-5.643727938334147,allenai/OLMo-7B-0424-hf,step500-tokens2B
29,He dried his hands using,improbable,a sweater.,-17.725050926208496,-5.908350308736165,allenai/OLMo-7B-0424-hf,step500-tokens2B
29,He dried his hands using,impossible,a liquid.,-17.199341773986816,-5.733113924662272,allenai/OLMo-7B-0424-hf,step500-tokens2B
29,He dried his hands using,inconceivable,freedom.,-15.208868026733398,-7.604434013366699,allenai/OLMo-7B-0424-hf,step500-tokens2B
29,He dried his hands using,inconceivable_syntactic,always.,-11.521886825561523,-5.760943412780762,allenai/OLMo-7B-0424-hf,step500-tokens2B
30,He dried laundry using,probable,a clothesline.,-28.92728900909424,-7.23182225227356,allenai/OLMo-7B-0424-hf,step500-tokens2B
30,He dried laundry using,improbable,a fan.,-16.093892574310303,-5.3646308581034345,allenai/OLMo-7B-0424-hf,step500-tokens2B
30,He dried laundry using,impossible,juice.,-15.029321670532227,-7.514660835266113,allenai/OLMo-7B-0424-hf,step500-tokens2B
30,He dried laundry using,inconceivable,courage.,-15.617820739746094,-7.808910369873047,allenai/OLMo-7B-0424-hf,step500-tokens2B
30,He dried laundry using,inconceivable_syntactic,and.,-9.68613052368164,-4.84306526184082,allenai/OLMo-7B-0424-hf,step500-tokens2B
31,He ate soup using,probable,a spoon.,-18.406073093414307,-6.135357697804769,allenai/OLMo-7B-0424-hf,step500-tokens2B
31,He ate soup using,improbable,a bucket.,-19.144531726837158,-6.381510575612386,allenai/OLMo-7B-0424-hf,step500-tokens2B
31,He ate soup using,impossible,a sieve.,-26.47062921524048,-6.61765730381012,allenai/OLMo-7B-0424-hf,step500-tokens2B
31,He ate soup using,inconceivable,history.,-11.75399398803711,-5.876996994018555,allenai/OLMo-7B-0424-hf,step500-tokens2B
31,He ate soup using,inconceivable_syntactic,ever.,-11.379047393798828,-5.689523696899414,allenai/OLMo-7B-0424-hf,step500-tokens2B
32,He entered a room through,probable,a door.,-14.819706916809082,-4.939902305603027,allenai/OLMo-7B-0424-hf,step500-tokens2B
32,He entered a room through,improbable,a window.,-13.508992195129395,-4.502997398376465,allenai/OLMo-7B-0424-hf,step500-tokens2B
32,He entered a room through,impossible,a wall.,-14.118285179138184,-4.706095059712728,allenai/OLMo-7B-0424-hf,step500-tokens2B
32,He entered a room through,inconceivable,a theory.,-15.066085815429688,-5.0220286051432295,allenai/OLMo-7B-0424-hf,step500-tokens2B
32,He entered a room through,inconceivable_syntactic,should.,-10.28151798248291,-5.140758991241455,allenai/OLMo-7B-0424-hf,step500-tokens2B
33,He filled a bucket with,probable,sand.,-12.1547212600708,-6.0773606300354,allenai/OLMo-7B-0424-hf,step500-tokens2B
33,He filled a bucket with,improbable,acorns.,-21.469482421875,-7.156494140625,allenai/OLMo-7B-0424-hf,step500-tokens2B
33,He filled a bucket with,impossible,buildings.,-12.566638946533203,-6.283319473266602,allenai/OLMo-7B-0424-hf,step500-tokens2B
33,He filled a bucket with,inconceivable,time.,-9.259205341339111,-4.629602670669556,allenai/OLMo-7B-0424-hf,step500-tokens2B
33,He filled a bucket with,inconceivable_syntactic,up.,-9.103582859039307,-4.551791429519653,allenai/OLMo-7B-0424-hf,step500-tokens2B
34,He filled a purse with,probable,coins.,-12.412355422973633,-6.206177711486816,allenai/OLMo-7B-0424-hf,step500-tokens2B
34,He filled a purse with,improbable,cream.,-12.445117950439453,-6.222558975219727,allenai/OLMo-7B-0424-hf,step500-tokens2B
34,He filled a purse with,impossible,sofas.,-26.73263931274414,-6.683159828186035,allenai/OLMo-7B-0424-hf,step500-tokens2B
34,He filled a purse with,inconceivable,luck.,-12.878018379211426,-6.439009189605713,allenai/OLMo-7B-0424-hf,step500-tokens2B
34,He filled a purse with,inconceivable_syntactic,nor.,-13.29343032836914,-6.64671516418457,allenai/OLMo-7B-0424-hf,step500-tokens2B
35,He grew flowers inside,probable,a pot.,-15.020523071289062,-5.0068410237630205,allenai/OLMo-7B-0424-hf,step500-tokens2B
35,He grew flowers inside,improbable,a mug.,-16.586563110351562,-5.5288543701171875,allenai/OLMo-7B-0424-hf,step500-tokens2B
35,He grew flowers inside,impossible,a marble.,-18.06066131591797,-6.020220438639323,allenai/OLMo-7B-0424-hf,step500-tokens2B
35,He grew flowers inside,inconceivable,a sneeze.,-29.418449878692627,-5.883689975738525,allenai/OLMo-7B-0424-hf,step500-tokens2B
35,He grew flowers inside,inconceivable_syntactic,been.,-11.886553764343262,-5.943276882171631,allenai/OLMo-7B-0424-hf,step500-tokens2B
36,He hung a painting using,probable,screws.,-12.98754596710205,-6.493772983551025,allenai/OLMo-7B-0424-hf,step500-tokens2B
36,He hung a painting using,improbable,string.,-13.005714416503906,-6.502857208251953,allenai/OLMo-7B-0424-hf,step500-tokens2B
36,He hung a painting using,impossible,vapor.,-13.914921760559082,-6.957460880279541,allenai/OLMo-7B-0424-hf,step500-tokens2B
36,He hung a painting using,inconceivable,a handshake.,-27.856221199035645,-6.964055299758911,allenai/OLMo-7B-0424-hf,step500-tokens2B
36,He hung a painting using,inconceivable_syntactic,could.,-13.527885437011719,-6.763942718505859,allenai/OLMo-7B-0424-hf,step500-tokens2B
37,He hid a gift inside,probable,a closet.,-18.170504570007324,-6.056834856669108,allenai/OLMo-7B-0424-hf,step500-tokens2B
37,He hid a gift inside,improbable,a forest.,-17.71175765991211,-5.903919219970703,allenai/OLMo-7B-0424-hf,step500-tokens2B
37,He hid a gift inside,impossible,a cloud.,-17.132787704467773,-5.710929234822591,allenai/OLMo-7B-0424-hf,step500-tokens2B
37,He hid a gift inside,inconceivable,a gasp.,-23.425113677978516,-5.856278419494629,allenai/OLMo-7B-0424-hf,step500-tokens2B
37,He hid a gift inside,inconceivable_syntactic,find.,-12.032722473144531,-6.016361236572266,allenai/OLMo-7B-0424-hf,step500-tokens2B
38,He lifted a box using,probable,a forklift.,-40.54430341720581,-8.108860683441161,allenai/OLMo-7B-0424-hf,step500-tokens2B
38,He lifted a box using,improbable,a pulley.,-29.103394031524658,-7.2758485078811646,allenai/OLMo-7B-0424-hf,step500-tokens2B
38,He lifted a box using,impossible,foam.,-14.354534149169922,-7.177267074584961,allenai/OLMo-7B-0424-hf,step500-tokens2B
38,He lifted a box using,inconceivable,an emotion.,-21.355652809143066,-7.118550936381022,allenai/OLMo-7B-0424-hf,step500-tokens2B
38,He lifted a box using,inconceivable_syntactic,very.,-11.438254356384277,-5.719127178192139,allenai/OLMo-7B-0424-hf,step500-tokens2B
39,He lit a candle using,probable,a match.,-16.533784866333008,-5.511261622111003,allenai/OLMo-7B-0424-hf,step500-tokens2B
39,He lit a candle using,improbable,a blowtorch.,-34.83946657180786,-6.967893314361572,allenai/OLMo-7B-0424-hf,step500-tokens2B
39,He lit a candle using,impossible,yogurt.,-15.622138023376465,-7.811069011688232,allenai/OLMo-7B-0424-hf,step500-tokens2B
39,He lit a candle using,inconceivable,surprises.,-17.36335849761963,-8.681679248809814,allenai/OLMo-7B-0424-hf,step500-tokens2B
39,He lit a candle using,inconceivable_syntactic,does.,-14.444851875305176,-7.222425937652588,allenai/OLMo-7B-0424-hf,step500-tokens2B
40,He made a sandwich using,probable,bread.,-12.972078323364258,-6.486039161682129,allenai/OLMo-7B-0424-hf,step500-tokens2B
40,He made a sandwich using,improbable,lettuce.,-14.763144493103027,-7.381572246551514,allenai/OLMo-7B-0424-hf,step500-tokens2B
40,He made a sandwich using,impossible,a star.,-16.953539848327637,-5.651179949442546,allenai/OLMo-7B-0424-hf,step500-tokens2B
40,He made a sandwich using,inconceivable,a mile.,-15.11617660522461,-5.03872553507487,allenai/OLMo-7B-0424-hf,step500-tokens2B
40,He made a sandwich using,inconceivable_syntactic,went.,-12.626141548156738,-6.313070774078369,allenai/OLMo-7B-0424-hf,step500-tokens2B
41,He made a smoothie using,probable,a blender.,-16.571717262268066,-5.5239057540893555,allenai/OLMo-7B-0424-hf,step500-tokens2B
41,He made a smoothie using,improbable,a whisk.,-18.059313774108887,-6.019771258036296,allenai/OLMo-7B-0424-hf,step500-tokens2B
41,He made a smoothie using,impossible,wind.,-10.725362777709961,-5.3626813888549805,allenai/OLMo-7B-0424-hf,step500-tokens2B
41,He made a smoothie using,inconceivable,decades.,-13.619837760925293,-6.8099188804626465,allenai/OLMo-7B-0424-hf,step500-tokens2B
41,He made a smoothie using,inconceivable_syntactic,gave.,-13.578218460083008,-6.789109230041504,allenai/OLMo-7B-0424-hf,step500-tokens2B
