item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model
5,He called a friend using,impossible,a sandwich.,-15.852335929870605,-5.284111976623535,gpt2-xl
5,He called a friend using,inconceivable,mass.,-16.90041732788086,-8.45020866394043,gpt2-xl
5,He called a friend using,inconceivable_syntactic,with.,-17.980013370513916,-8.990006685256958,gpt2-xl
6,He carried groceries inside,probable,a tote bag.,-11.842606544494629,-2.368521308898926,gpt2-xl
6,He carried groceries inside,improbable,a backpack.,-7.248160362243652,-2.4160534540812173,gpt2-xl
6,He carried groceries inside,impossible,a tornado.,-16.91978645324707,-5.639928817749023,gpt2-xl
6,He carried groceries inside,inconceivable,a law.,-21.283336639404297,-7.094445546468099,gpt2-xl
6,He carried groceries inside,inconceivable_syntactic,give.,-21.01578712463379,-10.507893562316895,gpt2-xl
7,He carved a statue using,probable,a chisel.,-8.821889400482178,-2.2054723501205444,gpt2-xl
7,He carved a statue using,improbable,a nail.,-9.907614707946777,-3.3025382359822593,gpt2-xl
7,He carved a statue using,impossible,a sock.,-14.164462089538574,-4.721487363179524,gpt2-xl
7,He carved a statue using,inconceivable,laughter.,-14.26740550994873,-7.133702754974365,gpt2-xl
7,He carved a statue using,inconceivable_syntactic,forget.,-20.16217279434204,-10.08108639717102,gpt2-xl
8,He caught a fish in,probable,a lake.,-6.816671371459961,-2.272223790486654,gpt2-xl
8,He caught a fish in,improbable,a puddle.,-9.495368957519531,-2.373842239379883,gpt2-xl
8,He caught a fish in,impossible,a raindrop.,-14.427031993865967,-3.6067579984664917,gpt2-xl
8,He caught a fish in,inconceivable,an exclamation.,-20.12537431716919,-5.031343579292297,gpt2-xl
8,He caught a fish in,inconceivable_syntactic,become.,-19.79048442840576,-9.89524221420288,gpt2-xl
9,He chilled a drink using,probable,ice.,-5.470425605773926,-2.735212802886963,gpt2-xl
9,He chilled a drink using,improbable,snow.,-9.218586444854736,-4.609293222427368,gpt2-xl
9,He chilled a drink using,impossible,fire.,-9.97645092010498,-4.98822546005249,gpt2-xl
9,He chilled a drink using,inconceivable,yesterday.,-16.211709022521973,-8.105854511260986,gpt2-xl
9,He chilled a drink using,inconceivable_syntactic,onto.,-24.94935417175293,-12.474677085876465,gpt2-xl
10,He chopped a carrot using,probable,a knife.,-6.785407543182373,-2.2618025143941245,gpt2-xl
10,He chopped a carrot using,improbable,a sword.,-6.88392448425293,-2.2946414947509766,gpt2-xl
10,He chopped a carrot using,impossible,a rag.,-14.333683013916016,-4.777894337972005,gpt2-xl
10,He chopped a carrot using,inconceivable,a color.,-20.553510665893555,-6.8511702219645185,gpt2-xl
10,He chopped a carrot using,inconceivable_syntactic,through.,-19.192288398742676,-9.596144199371338,gpt2-xl
11,He cleaned a spill using,probable,a sponge.,-7.557917594909668,-2.519305864969889,gpt2-xl
11,He cleaned a spill using,improbable,a scarf.,-11.053072929382324,-3.6843576431274414,gpt2-xl
11,He cleaned a spill using,impossible,mustard.,-10.763493537902832,-5.381746768951416,gpt2-xl
11,He cleaned a spill using,inconceivable,a country.,-17.97091054916382,-5.9903035163879395,gpt2-xl
11,He cleaned a spill using,inconceivable_syntactic,without.,-20.56514072418213,-10.282570362091064,gpt2-xl
12,He cleaned a carpet using,probable,a vacuum.,-8.639969825744629,-2.8799899419148765,gpt2-xl
12,He cleaned a carpet using,improbable,a hat.,-11.409052848815918,-3.8030176162719727,gpt2-xl
12,He cleaned a carpet using,impossible,a crayon.,-10.828961372375488,-2.1657922744750975,gpt2-xl
12,He cleaned a carpet using,inconceivable,a week.,-20.519597053527832,-6.839865684509277,gpt2-xl
12,He cleaned a carpet using,inconceivable_syntactic,into.,-18.280434608459473,-9.140217304229736,gpt2-xl
13,He climbed a tree using,probable,a ladder.,-6.083277702331543,-2.027759234110514,gpt2-xl
13,He climbed a tree using,improbable,a rope.,-4.512105941772461,-1.5040353139241536,gpt2-xl
13,He climbed a tree using,impossible,oil.,-14.515231132507324,-7.257615566253662,gpt2-xl
13,He climbed a tree using,inconceivable,a poem.,-16.375049591064453,-5.458349863688151,gpt2-xl
13,He climbed a tree using,inconceivable_syntactic,before.,-16.49065923690796,-8.24532961845398,gpt2-xl
14,He closed a jacket using,probable,a zipper.,-7.101414680480957,-2.367138226826986,gpt2-xl
14,He closed a jacket using,improbable,glue.,-9.150450229644775,-4.575225114822388,gpt2-xl
14,He closed a jacket using,impossible,fog.,-15.440556526184082,-7.720278263092041,gpt2-xl
14,He closed a jacket using,inconceivable,a word.,-13.072059631347656,-4.357353210449219,gpt2-xl
14,He closed a jacket using,inconceivable_syntactic,until.,-19.01964282989502,-9.50982141494751,gpt2-xl
15,He constructed a tower out of,probable,blocks.,-9.211493015289307,-4.605746507644653,gpt2-xl
15,He constructed a tower out of,improbable,bubbles.,-12.395068168640137,-6.197534084320068,gpt2-xl
15,He constructed a tower out of,impossible,sparks.,-13.116937637329102,-6.558468818664551,gpt2-xl
15,He constructed a tower out of,inconceivable,seasons.,-15.509918212890625,-7.7549591064453125,gpt2-xl
15,He constructed a tower out of,inconceivable_syntactic,forgive.,-20.72920513153076,-10.36460256576538,gpt2-xl
16,He cooked dinner out of,probable,pasta.,-8.872986316680908,-4.436493158340454,gpt2-xl
16,He cooked dinner out of,improbable,insects.,-10.700139999389648,-5.350069999694824,gpt2-xl
16,He cooked dinner out of,impossible,the moon.,-11.291987419128418,-3.763995806376139,gpt2-xl
16,He cooked dinner out of,inconceivable,thoughts.,-14.246160507202148,-7.123080253601074,gpt2-xl
16,He cooked dinner out of,inconceivable_syntactic,do.,-17.45210075378418,-8.72605037689209,gpt2-xl
17,He cooled a room using,probable,a fan.,-7.990761756896973,-2.6635872522989907,gpt2-xl
17,He cooled a room using,improbable,shades.,-12.196593284606934,-6.098296642303467,gpt2-xl
17,He cooled a room using,impossible,a heater.,-9.56590223312378,-3.1886340777079263,gpt2-xl
17,He cooled a room using,inconceivable,a taste.,-17.766515254974365,-5.922171751658122,gpt2-xl
17,He cooled a room using,inconceivable_syntactic,have.,-16.667246341705322,-8.333623170852661,gpt2-xl
18,He covered a window using,probable,curtains.,-10.231911659240723,-5.115955829620361,gpt2-xl
18,He covered a window using,improbable,sheets.,-10.072636127471924,-5.036318063735962,gpt2-xl
18,He covered a window using,impossible,a hair.,-14.279908657073975,-4.759969552357991,gpt2-xl
18,He covered a window using,inconceivable,a chant.,-15.971312522888184,-5.323770840962728,gpt2-xl
18,He covered a window using,inconceivable_syntactic,make.,-20.891047477722168,-10.445523738861084,gpt2-xl
19,He crafted a bowl out of,probable,clay.,-6.429055690765381,-3.2145278453826904,gpt2-xl
19,He crafted a bowl out of,improbable,mud.,-8.811090469360352,-4.405545234680176,gpt2-xl
19,He crafted a bowl out of,impossible,smoke.,-11.59500789642334,-5.79750394821167,gpt2-xl
19,He crafted a bowl out of,inconceivable,math.,-13.183625221252441,-6.591812610626221,gpt2-xl
19,He crafted a bowl out of,inconceivable_syntactic,follow.,-20.155792236328125,-10.077896118164062,gpt2-xl
20,He crushed a soda can using,probable,a shoe.,-9.635069370269775,-3.2116897900899253,gpt2-xl
20,He crushed a soda can using,improbable,a chair.,-10.304216384887695,-3.434738794962565,gpt2-xl
20,He crushed a soda can using,impossible,a tissue.,-13.902888298034668,-4.63429609934489,gpt2-xl
20,He crushed a soda can using,inconceivable,a day.,-17.305733680725098,-5.768577893575032,gpt2-xl
20,He crushed a soda can using,inconceivable_syntactic,choose.,-22.91599941253662,-11.45799970626831,gpt2-xl
21,He cut grass using,probable,a lawnmower.,-5.656283378601074,-1.131256675720215,gpt2-xl
21,He cut grass using,improbable,a scythe.,-7.470247268676758,-1.4940494537353515,gpt2-xl
21,He cut grass using,impossible,a popsicle.,-18.927196502685547,-4.731799125671387,gpt2-xl
21,He cut grass using,inconceivable,an essay.,-17.653114318847656,-5.884371439615886,gpt2-xl
21,He cut grass using,inconceivable_syntactic,then.,-16.296375274658203,-8.148187637329102,gpt2-xl
22,He cut cardboard using,probable,scissors.,-6.095620632171631,-3.0478103160858154,gpt2-xl
22,He cut cardboard using,improbable,a scalpel.,-8.676128387451172,-2.169032096862793,gpt2-xl
22,He cut cardboard using,impossible,fur.,-13.46723747253418,-6.73361873626709,gpt2-xl
22,He cut cardboard using,inconceivable,a snore.,-22.031140327453613,-5.507785081863403,gpt2-xl
22,He cut cardboard using,inconceivable_syntactic,sometimes.,-20.721725463867188,-10.360862731933594,gpt2-xl
23,He dented a car with,probable,a baseball bat.,-5.648107528686523,-1.4120268821716309,gpt2-xl
23,He dented a car with,improbable,a dumbbell.,-12.416129112243652,-3.104032278060913,gpt2-xl
23,He dented a car with,impossible,a breeze.,-18.237992763519287,-6.079330921173096,gpt2-xl
23,He dented a car with,inconceivable,a nap.,-18.386197090148926,-6.128732363382976,gpt2-xl
23,He dented a car with,inconceivable_syntactic,from.,-18.33438014984131,-9.167190074920654,gpt2-xl
24,He dug a hole using,probable,a shovel.,-5.142865180969238,-1.7142883936564128,gpt2-xl
24,He dug a hole using,improbable,a spatula.,-10.969734191894531,-2.742433547973633,gpt2-xl
24,He dug a hole using,impossible,dirt.,-9.121230125427246,-4.560615062713623,gpt2-xl
24,He dug a hole using,inconceivable,a yawn.,-17.62124252319336,-5.87374750773112,gpt2-xl
24,He dug a hole using,inconceivable_syntactic,except.,-20.090250968933105,-10.045125484466553,gpt2-xl
25,He dipped a biscuit into,probable,coffee.,-8.664294242858887,-4.332147121429443,gpt2-xl
25,He dipped a biscuit into,improbable,wine.,-9.77493667602539,-4.887468338012695,gpt2-xl
25,He dipped a biscuit into,impossible,a floor.,-19.508859634399414,-6.502953211466472,gpt2-xl
25,He dipped a biscuit into,inconceivable,a myth.,-19.194626808166504,-6.398208936055501,gpt2-xl
25,He dipped a biscuit into,inconceivable_syntactic,by.,-18.932331085205078,-9.466165542602539,gpt2-xl
26,He displayed books on,probable,a shelf.,-8.653066635131836,-2.8843555450439453,gpt2-xl
26,He displayed books on,improbable,a bed.,-11.888070583343506,-3.9626901944478354,gpt2-xl
26,He displayed books on,impossible,a galaxy.,-20.885124683380127,-6.961708227793376,gpt2-xl
26,He displayed books on,inconceivable,a sigh.,-20.117182731628418,-6.705727577209473,gpt2-xl
26,He displayed books on,inconceivable_syntactic,for.,-17.665669441223145,-8.832834720611572,gpt2-xl
27,He docked a boat using,probable,an anchor.,-8.318156242370605,-2.7727187474568686,gpt2-xl
27,He docked a boat using,improbable,an anvil.,-13.375600814819336,-3.343900203704834,gpt2-xl
27,He docked a boat using,impossible,a balloon.,-11.559488296508789,-3.8531627655029297,gpt2-xl
27,He docked a boat using,inconceivable,a lesson.,-18.143256664276123,-6.047752221425374,gpt2-xl
27,He docked a boat using,inconceivable_syntactic,though.,-15.449885845184326,-7.724942922592163,gpt2-xl
28,He drank a cup full of,probable,water.,-4.7600555419921875,-2.3800277709960938,gpt2-xl
28,He drank a cup full of,improbable,honey.,-8.161028861999512,-4.080514430999756,gpt2-xl
28,He drank a cup full of,impossible,lightning.,-10.572397232055664,-5.286198616027832,gpt2-xl
28,He drank a cup full of,inconceivable,minutes.,-15.295357704162598,-7.647678852081299,gpt2-xl
28,He drank a cup full of,inconceivable_syntactic,during.,-21.39364528656006,-10.69682264328003,gpt2-xl
29,He dried his hands using,probable,a towel.,-4.327085494995117,-1.442361831665039,gpt2-xl
29,He dried his hands using,improbable,a sweater.,-11.374505043029785,-3.7915016810099282,gpt2-xl
29,He dried his hands using,impossible,a liquid.,-14.52910327911377,-4.843034426371257,gpt2-xl
29,He dried his hands using,inconceivable,freedom.,-16.60753345489502,-8.30376672744751,gpt2-xl
29,He dried his hands using,inconceivable_syntactic,always.,-16.93192958831787,-8.465964794158936,gpt2-xl
30,He dried laundry using,probable,a clothesline.,-8.491687774658203,-2.122921943664551,gpt2-xl
30,He dried laundry using,improbable,a fan.,-6.6280670166015625,-2.209355672200521,gpt2-xl
30,He dried laundry using,impossible,juice.,-14.277312278747559,-7.138656139373779,gpt2-xl
30,He dried laundry using,inconceivable,courage.,-16.193408012390137,-8.096704006195068,gpt2-xl
30,He dried laundry using,inconceivable_syntactic,and.,-17.374374389648438,-8.687187194824219,gpt2-xl
31,He ate soup using,probable,a spoon.,-3.6366825103759766,-1.212227503458659,gpt2-xl
31,He ate soup using,improbable,a bucket.,-9.364857196807861,-3.1216190656026206,gpt2-xl
31,He ate soup using,impossible,a sieve.,-9.760769367218018,-2.4401923418045044,gpt2-xl
31,He ate soup using,inconceivable,history.,-15.657843112945557,-7.828921556472778,gpt2-xl
31,He ate soup using,inconceivable_syntactic,ever.,-18.75710678100586,-9.37855339050293,gpt2-xl
32,He entered a room through,probable,a door.,-5.104887962341309,-1.7016293207804363,gpt2-xl
32,He entered a room through,improbable,a window.,-4.6863603591918945,-1.5621201197306316,gpt2-xl
32,He entered a room through,impossible,a wall.,-7.730620384216309,-2.576873461405436,gpt2-xl
32,He entered a room through,inconceivable,a theory.,-18.1681489944458,-6.056049664815267,gpt2-xl
32,He entered a room through,inconceivable_syntactic,should.,-20.165369510650635,-10.082684755325317,gpt2-xl
33,He filled a bucket with,probable,sand.,-6.700544834136963,-3.3502724170684814,gpt2-xl
33,He filled a bucket with,improbable,acorns.,-10.762453079223633,-3.587484359741211,gpt2-xl
33,He filled a bucket with,impossible,buildings.,-14.249058723449707,-7.1245293617248535,gpt2-xl
33,He filled a bucket with,inconceivable,time.,-13.385066986083984,-6.692533493041992,gpt2-xl
33,He filled a bucket with,inconceivable_syntactic,up.,-18.643349647521973,-9.321674823760986,gpt2-xl
34,He filled a purse with,probable,coins.,-5.553605556488037,-2.7768027782440186,gpt2-xl
34,He filled a purse with,improbable,cream.,-13.279853820800781,-6.639926910400391,gpt2-xl
34,He filled a purse with,impossible,sofas.,-17.830289840698242,-4.4575724601745605,gpt2-xl
34,He filled a purse with,inconceivable,luck.,-13.701592445373535,-6.850796222686768,gpt2-xl
34,He filled a purse with,inconceivable_syntactic,nor.,-22.0009822845459,-11.00049114227295,gpt2-xl
35,He grew flowers inside,probable,a pot.,-9.05292558670044,-3.01764186223348,gpt2-xl
35,He grew flowers inside,improbable,a mug.,-12.222779273986816,-4.0742597579956055,gpt2-xl
35,He grew flowers inside,impossible,a marble.,-16.409892082214355,-5.469964027404785,gpt2-xl
35,He grew flowers inside,inconceivable,a sneeze.,-17.703600883483887,-3.5407201766967775,gpt2-xl
35,He grew flowers inside,inconceivable_syntactic,been.,-18.30823850631714,-9.15411925315857,gpt2-xl
36,He hung a painting using,probable,screws.,-9.875046730041504,-4.937523365020752,gpt2-xl
36,He hung a painting using,improbable,string.,-6.76606559753418,-3.38303279876709,gpt2-xl
36,He hung a painting using,impossible,vapor.,-17.501665592193604,-8.750832796096802,gpt2-xl
36,He hung a painting using,inconceivable,a handshake.,-13.402240753173828,-4.467413584391276,gpt2-xl
36,He hung a painting using,inconceivable_syntactic,could.,-19.017803192138672,-9.508901596069336,gpt2-xl
37,He hid a gift inside,probable,a closet.,-11.264129638671875,-3.7547098795572915,gpt2-xl
37,He hid a gift inside,improbable,a forest.,-12.288930892944336,-4.096310297648112,gpt2-xl
37,He hid a gift inside,impossible,a cloud.,-12.087571144104004,-4.029190381368001,gpt2-xl
37,He hid a gift inside,inconceivable,a gasp.,-16.501479148864746,-5.500493049621582,gpt2-xl
37,He hid a gift inside,inconceivable_syntactic,find.,-18.428741455078125,-9.214370727539062,gpt2-xl
38,He lifted a box using,probable,a forklift.,-7.5461530685424805,-1.8865382671356201,gpt2-xl
38,He lifted a box using,improbable,a pulley.,-9.21316385269165,-2.3032909631729126,gpt2-xl
38,He lifted a box using,impossible,foam.,-14.434370040893555,-7.217185020446777,gpt2-xl
38,He lifted a box using,inconceivable,an emotion.,-19.383537769317627,-6.461179256439209,gpt2-xl
38,He lifted a box using,inconceivable_syntactic,very.,-17.752479553222656,-8.876239776611328,gpt2-xl
39,He lit a candle using,probable,a match.,-5.427495002746582,-1.8091650009155273,gpt2-xl
39,He lit a candle using,improbable,a blowtorch.,-9.414327621459961,-1.8828655242919923,gpt2-xl
39,He lit a candle using,impossible,yogurt.,-12.446295738220215,-6.223147869110107,gpt2-xl
39,He lit a candle using,inconceivable,surprises.,-18.7262601852417,-9.36313009262085,gpt2-xl
39,He lit a candle using,inconceivable_syntactic,does.,-16.73527765274048,-8.36763882637024,gpt2-xl
40,He made a sandwich using,probable,bread.,-8.392468452453613,-4.196234226226807,gpt2-xl
40,He made a sandwich using,improbable,lettuce.,-9.489145278930664,-4.744572639465332,gpt2-xl
40,He made a sandwich using,impossible,a star.,-13.693828105926514,-4.564609368642171,gpt2-xl
40,He made a sandwich using,inconceivable,a mile.,-19.37334108352661,-6.457780361175537,gpt2-xl
40,He made a sandwich using,inconceivable_syntactic,went.,-19.01210117340088,-9.50605058670044,gpt2-xl
41,He made a smoothie using,probable,a blender.,-7.837591171264648,-2.6125303904215493,gpt2-xl
41,He made a smoothie using,improbable,a whisk.,-13.872354507446289,-4.624118169148763,gpt2-xl
41,He made a smoothie using,impossible,wind.,-17.29278326034546,-8.64639163017273,gpt2-xl
41,He made a smoothie using,inconceivable,decades.,-19.93093490600586,-9.96546745300293,gpt2-xl
41,He made a smoothie using,inconceivable_syntactic,gave.,-19.310225009918213,-9.655112504959106,gpt2-xl
42,He melted a chocolate bar using,probable,a stove.,-10.116500854492188,-3.372166951497396,gpt2-xl
42,He melted a chocolate bar using,improbable,a radiator.,-11.902169227600098,-3.9673897425333657,gpt2-xl
42,He melted a chocolate bar using,impossible,a napkin.,-12.047924041748047,-3.0119810104370117,gpt2-xl
42,He melted a chocolate bar using,inconceivable,a promise.,-16.52894115447998,-5.509647051493327,gpt2-xl
42,He melted a chocolate bar using,inconceivable_syntactic,took.,-20.568807125091553,-10.284403562545776,gpt2-xl
43,He opened a jar using,probable,his hands.,-6.62479305267334,-2.2082643508911133,gpt2-xl
43,He opened a jar using,improbable,his feet.,-8.555342674255371,-2.851780891418457,gpt2-xl
43,He opened a jar using,impossible,his mind.,-8.500022888183594,-2.8333409627278647,gpt2-xl
43,He opened a jar using,inconceivable,an opinion.,-18.816345691680908,-6.272115230560303,gpt2-xl
43,He opened a jar using,inconceivable_syntactic,never.,-17.721205711364746,-8.860602855682373,gpt2-xl
44,He packed a suit inside,probable,a suitcase.,-5.53834342956543,-1.8461144765218098,gpt2-xl
44,He packed a suit inside,improbable,a pocket.,-8.425090789794922,-2.808363596598307,gpt2-xl
44,He packed a suit inside,impossible,a raspberry.,-15.482900142669678,-5.160966714223226,gpt2-xl
44,He packed a suit inside,inconceivable,a groan.,-16.80943775177002,-4.202359437942505,gpt2-xl
44,He packed a suit inside,inconceivable_syntactic,got.,-22.502123832702637,-11.251061916351318,gpt2-xl
45,He painted a wall using,probable,a brush.,-7.897287368774414,-2.6324291229248047,gpt2-xl
45,He painted a wall using,improbable,a mop.,-12.904885292053223,-3.2262213230133057,gpt2-xl
45,He painted a wall using,impossible,a bathtub.,-13.320037841796875,-3.3300094604492188,gpt2-xl
45,He painted a wall using,inconceivable,a whisper.,-16.899473190307617,-5.633157730102539,gpt2-xl
45,He painted a wall using,inconceivable_syntactic,decide.,-18.430593013763428,-9.215296506881714,gpt2-xl
46,He paved a road using,probable,cement.,-9.377363681793213,-4.6886818408966064,gpt2-xl
46,He paved a road using,improbable,seashells.,-12.559572219848633,-3.139893054962158,gpt2-xl
46,He paved a road using,impossible,a comet.,-14.02634048461914,-4.67544682820638,gpt2-xl
46,He paved a road using,inconceivable,happiness.,-13.213879585266113,-6.606939792633057,gpt2-xl
46,He paved a road using,inconceivable_syntactic,although.,-18.347078323364258,-9.173539161682129,gpt2-xl
47,He plucked a hair using,probable,tweezers.,-7.182822227478027,-1.7957055568695068,gpt2-xl
47,He plucked a hair using,improbable,tongs.,-9.779614448547363,-3.259871482849121,gpt2-xl
47,He plucked a hair using,impossible,a spoon.,-8.18493938446045,-2.728313128153483,gpt2-xl
47,He plucked a hair using,inconceivable,sympathy.,-15.399459838867188,-7.699729919433594,gpt2-xl
47,He plucked a hair using,inconceivable_syntactic,since.,-18.59544801712036,-9.29772400856018,gpt2-xl
48,He polished jewelry using,probable,a cloth.,-11.195840835571289,-3.7319469451904297,gpt2-xl
48,He polished jewelry using,improbable,a shirt.,-13.864483833312988,-4.621494611104329,gpt2-xl
48,He polished jewelry using,impossible,a chainsaw.,-9.953486919403076,-2.488371729850769,gpt2-xl
48,He polished jewelry using,inconceivable,music.,-12.682560920715332,-6.341280460357666,gpt2-xl
48,He polished jewelry using,inconceivable_syntactic,know.,-20.506003379821777,-10.253001689910889,gpt2-xl
49,He popped a balloon using,probable,a thumbtack.,-11.45769214630127,-2.291538429260254,gpt2-xl
49,He popped a balloon using,improbable,a spear.,-10.759104251861572,-3.5863680839538574,gpt2-xl
49,He popped a balloon using,impossible,cotton balls.,-11.964546203613281,-3.9881820678710938,gpt2-xl
49,He popped a balloon using,inconceivable,a story.,-14.684454917907715,-4.894818305969238,gpt2-xl
49,He popped a balloon using,inconceivable_syntactic,because.,-18.834064483642578,-9.417032241821289,gpt2-xl
50,He removed a stain using,probable,bleach.,-6.359026908874512,-3.179513454437256,gpt2-xl
50,He removed a stain using,improbable,vinegar.,-7.6224517822265625,-3.8112258911132812,gpt2-xl
50,He removed a stain using,impossible,dirt.,-11.275577545166016,-5.637788772583008,gpt2-xl
50,He removed a stain using,inconceivable,truth.,-18.023818016052246,-9.011909008026123,gpt2-xl
50,He removed a stain using,inconceivable_syntactic,would.,-18.364706993103027,-9.182353496551514,gpt2-xl
51,He rinsed fruit using,probable,a sink.,-10.968070983886719,-3.6560236612955728,gpt2-xl
51,He rinsed fruit using,improbable,a hose.,-7.3250932693481445,-2.4416977564493814,gpt2-xl
51,He rinsed fruit using,impossible,a clock.,-15.16169261932373,-5.053897539774577,gpt2-xl
51,He rinsed fruit using,inconceivable,a giggle.,-17.82856035232544,-4.45714008808136,gpt2-xl
51,He rinsed fruit using,inconceivable_syntactic,create.,-19.33005380630493,-9.665026903152466,gpt2-xl
52,He sewed a shirt using,probable,a needle.,-7.852394104003906,-2.6174647013346353,gpt2-xl
52,He sewed a shirt using,improbable,a toothpick.,-10.43670654296875,-2.6091766357421875,gpt2-xl
52,He sewed a shirt using,impossible,a potato.,-11.139365673065186,-3.7131218910217285,gpt2-xl
52,He sewed a shirt using,inconceivable,thunder.,-17.21575927734375,-8.607879638671875,gpt2-xl
52,He sewed a shirt using,inconceivable_syntactic,upon.,-19.019291877746582,-9.509645938873291,gpt2-xl
53,He shattered a window using,probable,a stone.,-7.540052890777588,-2.5133509635925293,gpt2-xl
53,He shattered a window using,improbable,a frisbee.,-11.58216381072998,-2.316432762145996,gpt2-xl
53,He shattered a window using,impossible,confetti.,-14.241662979125977,-4.747220993041992,gpt2-xl
53,He shattered a window using,inconceivable,a concept.,-19.2000150680542,-6.400005022684733,gpt2-xl
53,He shattered a window using,inconceivable_syntactic,must.,-20.305196285247803,-10.152598142623901,gpt2-xl
54,He shaved his beard using,probable,a razor.,-4.54145622253418,-1.5138187408447266,gpt2-xl
54,He shaved his beard using,improbable,a knife.,-7.324758529663086,-2.441586176554362,gpt2-xl
54,He shaved his beard using,impossible,a teabag.,-15.62613582611084,-3.125227165222168,gpt2-xl
54,He shaved his beard using,inconceivable,a belief.,-18.30724287033081,-6.1024142901102705,gpt2-xl
54,He shaved his beard using,inconceivable_syntactic,now.,-18.158074855804443,-9.079037427902222,gpt2-xl
55,He smashed a pumpkin using,probable,a hammer.,-4.635790824890137,-1.5452636082967122,gpt2-xl
55,He smashed a pumpkin using,improbable,a boulder.,-10.193958282470703,-3.397986094156901,gpt2-xl
55,He smashed a pumpkin using,impossible,a leaf.,-11.953703880310059,-3.984567960103353,gpt2-xl
55,He smashed a pumpkin using,inconceivable,a number.,-19.054179191589355,-6.351393063863118,gpt2-xl
55,He smashed a pumpkin using,inconceivable_syntactic,remember.,-20.90814971923828,-10.45407485961914,gpt2-xl
56,He split a log using,probable,an axe.,-5.47147274017334,-1.8238242467244465,gpt2-xl
56,He split a log using,improbable,a saw.,-7.277987480163574,-2.4259958267211914,gpt2-xl
56,He split a log using,impossible,a feather.,-10.820860862731934,-3.6069536209106445,gpt2-xl
56,He split a log using,inconceivable,a gasp.,-17.182479858398438,-5.7274932861328125,gpt2-xl
56,He split a log using,inconceivable_syntactic,forward.,-18.51494836807251,-9.257474184036255,gpt2-xl
57,He squeezed juice from,probable,an orange.,-6.782543182373047,-2.260847727457682,gpt2-xl
57,He squeezed juice from,improbable,meat.,-12.62204647064209,-6.311023235321045,gpt2-xl
57,He squeezed juice from,impossible,an envelope.,-13.210763931274414,-4.403587977091472,gpt2-xl
57,He squeezed juice from,inconceivable,a mumble.,-18.465923309326172,-4.616480827331543,gpt2-xl
57,He squeezed juice from,inconceivable_syntactic,did.,-20.564122200012207,-10.282061100006104,gpt2-xl
58,He squished a blueberry using,probable,his finger.,-6.436056137084961,-2.145352045694987,gpt2-xl
58,He squished a blueberry using,improbable,his nose.,-7.912527084350586,-2.637509028116862,gpt2-xl
58,He squished a blueberry using,impossible,his breath.,-10.703246116638184,-3.567748705546061,gpt2-xl
