item_id,prefix,eval_prefix,condition,continuation,continuation_tokens,continuation_sum_surprisal,model
15,Crafting jewelry using,He crafted jewelry using,probable,beads.,▁be ads .,8.44547002017498,meta-llama/Llama-2-7b-hf
15,Crafting jewelry using,He crafted jewelry using,improbable,leather.,▁le ather .,9.220053493976593,meta-llama/Llama-2-7b-hf
15,Crafting jewelry using,He crafted jewelry using,impossible_physics,a volcano.,▁a ▁vol cano .,15.181059181690216,meta-llama/Llama-2-7b-hf
15,Crafting jewelry using,He crafted jewelry using,impossible_magic,alchemy.,▁al ch emy .,11.069400974549353,meta-llama/Llama-2-7b-hf
15,Crafting jewelry using,He crafted jewelry using,inconceivable_syntactic,until.,▁until .,19.14356565475464,meta-llama/Llama-2-7b-hf
15,Crafting jewelry using,He crafted jewelry using,inconceivable_semantic,opinions.,▁opinions .,16.71346092224121,meta-llama/Llama-2-7b-hf
16,Docking a boat using,He docked a boat using,probable,an anchor.,▁an ▁anchor .,10.333073139190674,meta-llama/Llama-2-7b-hf
16,Docking a boat using,He docked a boat using,improbable,an anvil.,▁an ▁an vil .,12.933076858520508,meta-llama/Llama-2-7b-hf
16,Docking a boat using,He docked a boat using,impossible_physics,a balloon.,▁a ▁bal lo on .,9.511595110059716,meta-llama/Llama-2-7b-hf
16,Docking a boat using,He docked a boat using,impossible_magic,a dragon.,▁a ▁drag on .,11.583812654018402,meta-llama/Llama-2-7b-hf
16,Docking a boat using,He docked a boat using,inconceivable_syntactic,forgive.,▁forg ive .,22.249027729034424,meta-llama/Llama-2-7b-hf
16,Docking a boat using,He docked a boat using,inconceivable_semantic,greetings.,▁gre et ings .,17.77335625886917,meta-llama/Llama-2-7b-hf
17,Sealing a box using,He sealed a box using,probable,tape.,▁t ape .,6.892515383660793,meta-llama/Llama-2-7b-hf
17,Sealing a box using,He sealed a box using,improbable,magnets.,▁magnet s .,9.464041993021965,meta-llama/Llama-2-7b-hf
17,Sealing a box using,He sealed a box using,impossible_physics,wine.,▁wine .,10.64421021938324,meta-llama/Llama-2-7b-hf
17,Sealing a box using,He sealed a box using,impossible_magic,sorcery.,▁sor c ery .,10.268876694492064,meta-llama/Llama-2-7b-hf
17,Sealing a box using,He sealed a box using,inconceivable_syntactic,do.,▁do .,15.13614273071289,meta-llama/Llama-2-7b-hf
17,Sealing a box using,He sealed a box using,inconceivable_semantic,jokes.,▁j okes .,15.957892179489136,meta-llama/Llama-2-7b-hf
18,Smashing a pumpkin using,He smashed a pumpkin using,probable,a hammer.,▁a ▁ham mer .,4.04447318916209,meta-llama/Llama-2-7b-hf
18,Smashing a pumpkin using,He smashed a pumpkin using,improbable,a brick.,▁a ▁brick .,7.667393803596497,meta-llama/Llama-2-7b-hf
18,Smashing a pumpkin using,He smashed a pumpkin using,impossible_physics,a leaf.,▁a ▁leaf .,11.218002557754517,meta-llama/Llama-2-7b-hf
18,Smashing a pumpkin using,He smashed a pumpkin using,impossible_magic,a wizard.,▁a ▁w izard .,15.403786182403564,meta-llama/Llama-2-7b-hf
18,Smashing a pumpkin using,He smashed a pumpkin using,inconceivable_syntactic,have.,▁have .,17.295395851135254,meta-llama/Llama-2-7b-hf
18,Smashing a pumpkin using,He smashed a pumpkin using,inconceivable_semantic,a number.,▁a ▁number .,14.64356517791748,meta-llama/Llama-2-7b-hf
19,Wiping a spill using,He wiped a spill using,probable,a tissue.,▁a ▁t issue .,5.53763322532177,meta-llama/Llama-2-7b-hf
19,Wiping a spill using,He wiped a spill using,improbable,a scarf.,▁a ▁scar f .,10.99339558929205,meta-llama/Llama-2-7b-hf
19,Wiping a spill using,He wiped a spill using,impossible_physics,a piano.,▁a ▁piano .,14.599863350391388,meta-llama/Llama-2-7b-hf
19,Wiping a spill using,He wiped a spill using,impossible_magic,divination.,▁div ination .,18.110859394073486,meta-llama/Llama-2-7b-hf
19,Wiping a spill using,He wiped a spill using,inconceivable_syntactic,make.,▁make .,18.35042428970337,meta-llama/Llama-2-7b-hf
19,Wiping a spill using,He wiped a spill using,inconceivable_semantic,sentences.,▁sentences .,16.967562675476074,meta-llama/Llama-2-7b-hf
20,Constructing a castle using,He constructed a castle using,probable,bricks.,▁br icks .,7.202269077301025,meta-llama/Llama-2-7b-hf
20,Constructing a castle using,He constructed a castle using,improbable,gems.,▁g ems .,12.671786069869995,meta-llama/Llama-2-7b-hf
20,Constructing a castle using,He constructed a castle using,impossible_physics,a star.,▁a ▁star .,13.899274587631226,meta-llama/Llama-2-7b-hf
20,Constructing a castle using,He constructed a castle using,impossible_magic,wizardry.,▁w izard ry .,13.68809662759304,meta-llama/Llama-2-7b-hf
20,Constructing a castle using,He constructed a castle using,inconceivable_syntactic,follow.,▁follow .,18.429125785827637,meta-llama/Llama-2-7b-hf
20,Constructing a castle using,He constructed a castle using,inconceivable_semantic,boredom.,▁b ored om .,15.9397132396698,meta-llama/Llama-2-7b-hf
21,Lighting a candle with,He lit a candle with,probable,a match.,▁a ▁match .,5.524114489555359,meta-llama/Llama-2-7b-hf
21,Lighting a candle with,He lit a candle with,improbable,a blowtorch.,▁a ▁blow tor ch .,9.325463113680598,meta-llama/Llama-2-7b-hf
21,Lighting a candle with,He lit a candle with,impossible_physics,a pool.,▁a ▁pool .,15.885122656822205,meta-llama/Llama-2-7b-hf
21,Lighting a candle with,He lit a candle with,impossible_magic,spells.,▁sp ells .,12.323182821273804,meta-llama/Llama-2-7b-hf
21,Lighting a candle with,He lit a candle with,inconceivable_syntactic,choose.,▁choose .,19.017667770385742,meta-llama/Llama-2-7b-hf
21,Lighting a candle with,He lit a candle with,inconceivable_semantic,years.,▁years .,14.305734157562256,meta-llama/Llama-2-7b-hf
22,Towing a car using,He towed a car using,probable,a truck.,▁a ▁tr uck .,8.129010558128357,meta-llama/Llama-2-7b-hf
22,Towing a car using,He towed a car using,improbable,a horse.,▁a ▁horse .,8.881721556186676,meta-llama/Llama-2-7b-hf
22,Towing a car using,He towed a car using,impossible_physics,a butterfly.,▁a ▁but ter fly .,13.660028636455536,meta-llama/Llama-2-7b-hf
22,Towing a car using,He towed a car using,impossible_magic,aliens.,▁al iens .,17.541731357574463,meta-llama/Llama-2-7b-hf
22,Towing a car using,He towed a car using,inconceivable_syntactic,then.,▁then .,19.6448917388916,meta-llama/Llama-2-7b-hf
22,Towing a car using,He towed a car using,inconceivable_semantic,freedom.,▁freedom .,17.58890151977539,meta-llama/Llama-2-7b-hf
23,Starting a fire using,He started a fire using,probable,kindling.,▁kind ling .,8.71181882545352,meta-llama/Llama-2-7b-hf
23,Starting a fire using,He started a fire using,improbable,furniture.,▁furn iture .,11.615719012916088,meta-llama/Llama-2-7b-hf
23,Starting a fire using,He started a fire using,impossible_physics,milk.,▁milk .,12.26013731956482,meta-llama/Llama-2-7b-hf
23,Starting a fire using,He started a fire using,impossible_magic,enchantments.,▁en chant ments .,17.502843022346497,meta-llama/Llama-2-7b-hf
23,Starting a fire using,He started a fire using,inconceivable_syntactic,sometimes.,▁sometimes .,15.838805198669434,meta-llama/Llama-2-7b-hf
23,Starting a fire using,He started a fire using,inconceivable_semantic,traffic.,▁traffic .,19.14949321746826,meta-llama/Llama-2-7b-hf
24,Building a bridge out of,He constructed a bridge out of,probable,steel.,▁steel .,8.213560581207275,meta-llama/Llama-2-7b-hf
24,Building a bridge out of,He constructed a bridge out of,improbable,plastic.,▁pl astic .,9.015641078352928,meta-llama/Llama-2-7b-hf
24,Building a bridge out of,He constructed a bridge out of,impossible_physics,gas.,▁gas .,13.11637544631958,meta-llama/Llama-2-7b-hf
24,Building a bridge out of,He constructed a bridge out of,impossible_magic,ambrosia.,▁amb ros ia .,17.87950038909912,meta-llama/Llama-2-7b-hf
24,Building a bridge out of,He constructed a bridge out of,inconceivable_syntactic,from.,▁from .,14.68919563293457,meta-llama/Llama-2-7b-hf
24,Building a bridge out of,He constructed a bridge out of,inconceivable_semantic,truth.,▁truth .,14.00784420967102,meta-llama/Llama-2-7b-hf
25,Shoveling a driveway full of,He shoveled a driveway full of,probable,snow.,▁snow .,2.3112034797668457,meta-llama/Llama-2-7b-hf
25,Shoveling a driveway full of,He shoveled a driveway full of,improbable,ice.,▁ice .,4.829639911651611,meta-llama/Llama-2-7b-hf
25,Shoveling a driveway full of,He shoveled a driveway full of,impossible_physics,sunshine.,▁sun sh ine .,8.597828201018274,meta-llama/Llama-2-7b-hf
25,Shoveling a driveway full of,He shoveled a driveway full of,impossible_magic,ogres.,▁o gres .,15.781342625617981,meta-llama/Llama-2-7b-hf
25,Shoveling a driveway full of,He shoveled a driveway full of,inconceivable_syntactic,except.,▁except .,18.321760654449463,meta-llama/Llama-2-7b-hf
25,Shoveling a driveway full of,He shoveled a driveway full of,inconceivable_semantic,rumors.,▁rum ors .,14.970291137695312,meta-llama/Llama-2-7b-hf
26,Constructing a tower using,He constructed a tower using,probable,concrete.,▁concrete .,8.551346778869629,meta-llama/Llama-2-7b-hf
26,Constructing a tower using,He constructed a tower using,improbable,blocks.,▁blocks .,7.2178874015808105,meta-llama/Llama-2-7b-hf
26,Constructing a tower using,He constructed a tower using,impossible_physics,a lake.,▁a ▁lake .,15.51823353767395,meta-llama/Llama-2-7b-hf
26,Constructing a tower using,He constructed a tower using,impossible_magic,his mind.,▁his ▁mind .,10.51419723033905,meta-llama/Llama-2-7b-hf
26,Constructing a tower using,He constructed a tower using,inconceivable_syntactic,while.,▁while .,16.081762313842773,meta-llama/Llama-2-7b-hf
26,Constructing a tower using,He constructed a tower using,inconceivable_semantic,laughter.,▁laugh ter .,15.90662094950676,meta-llama/Llama-2-7b-hf
27,Knitting a scarf using,He knitted a scarf using,probable,yarn.,▁y arn .,8.613605067133904,meta-llama/Llama-2-7b-hf
27,Knitting a scarf using,He knitted a scarf using,improbable,wire.,▁wire .,9.494936227798462,meta-llama/Llama-2-7b-hf
27,Knitting a scarf using,He knitted a scarf using,impossible_physics,lava.,▁la va .,14.152615070343018,meta-llama/Llama-2-7b-hf
27,Knitting a scarf using,He knitted a scarf using,impossible_magic,telepathy.,▁tele path y .,12.613961845636368,meta-llama/Llama-2-7b-hf
27,Knitting a scarf using,He knitted a scarf using,inconceivable_syntactic,for.,▁for .,15.553739547729492,meta-llama/Llama-2-7b-hf
27,Knitting a scarf using,He knitted a scarf using,inconceivable_semantic,sadness.,▁sad ness .,14.88139295578003,meta-llama/Llama-2-7b-hf
28,Washing your hair with,He washed his hair with,probable,shampoo.,▁sh am po o .,4.751039260998368,meta-llama/Llama-2-7b-hf
28,Washing your hair with,He washed his hair with,improbable,detergent.,▁d eter gent .,8.28394377976656,meta-llama/Llama-2-7b-hf
28,Washing your hair with,He washed his hair with,impossible_physics,air.,▁air .,10.550623297691345,meta-llama/Llama-2-7b-hf
28,Washing your hair with,He washed his hair with,impossible_magic,mermaids.,▁mer ma ids .,16.754672050476074,meta-llama/Llama-2-7b-hf
28,Washing your hair with,He washed his hair with,inconceivable_syntactic,though.,▁though .,15.277376651763916,meta-llama/Llama-2-7b-hf
28,Washing your hair with,He washed his hair with,inconceivable_semantic,minutes.,▁minutes .,15.639187574386597,meta-llama/Llama-2-7b-hf
29,Hiding a gift using,He hid a gift using,probable,a closet.,▁a ▁clos et .,13.416159680113196,meta-llama/Llama-2-7b-hf
29,Hiding a gift using,He hid a gift using,improbable,a tarp.,▁a ▁t arp .,13.118899822235107,meta-llama/Llama-2-7b-hf
29,Hiding a gift using,He hid a gift using,impossible_physics,a cloud.,▁a ▁cloud .,12.089829683303833,meta-llama/Llama-2-7b-hf
29,Hiding a gift using,He hid a gift using,impossible_magic,invisibility.,▁in visibility .,10.778604626655579,meta-llama/Llama-2-7b-hf
29,Hiding a gift using,He hid a gift using,inconceivable_syntactic,during.,▁during .,20.294248580932617,meta-llama/Llama-2-7b-hf
29,Hiding a gift using,He hid a gift using,inconceivable_semantic,concepts.,▁concepts .,16.868765354156494,meta-llama/Llama-2-7b-hf
30,Drawing a picture using,He drew a picture using,probable,a pencil.,▁a ▁p enc il .,5.07132214284502,meta-llama/Llama-2-7b-hf
30,Drawing a picture using,He drew a picture using,improbable,lipstick.,▁lip st ick .,10.36409822665155,meta-llama/Llama-2-7b-hf
30,Drawing a picture using,He drew a picture using,impossible_physics,a mountain.,▁a ▁mountain .,13.611468195915222,meta-llama/Llama-2-7b-hf
30,Drawing a picture using,He drew a picture using,impossible_magic,magic.,▁magic .,8.40712022781372,meta-llama/Llama-2-7b-hf
30,Drawing a picture using,He drew a picture using,inconceivable_syntactic,always.,▁always .,16.12260150909424,meta-llama/Llama-2-7b-hf
30,Drawing a picture using,He drew a picture using,inconceivable_semantic,a smell.,▁a ▁sm ell .,15.496615529060364,meta-llama/Llama-2-7b-hf
